Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 3)","('flink_taskmanager_job_task_numRecordsInPerSecond', 4)","('flink_taskmanager_job_task_numRecordsInPerSecond', 5)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 4)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 5)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
705,21354.266666659998,21296.8,,,,,1000.0,820.0,,,,,879.0,1381.0,589.0,2
710,21316.68333333,21313.21666666,,,,,1000.0,810.0,,,,,879.0,1381.0,338.0,2
715,21289.1,21280.816666659997,,,,,1000.0,807.0,,,,,875.0,1381.0,344.0,2
720,21279.96666666,21313.46666666,,,,,1000.0,805.0,,,,,875.0,1381.0,372.0,2
725,21318.566666659997,21429.38333333,,,,,1000.0,810.0,,,,,877.0,1381.0,372.0,2
730,21429.066666659997,21518.66666666,,,,,1000.0,814.0,,,,,879.0,1381.0,358.0,2
735,21502.71666666,21515.316666659997,,,,,1000.0,814.0,,,,,875.0,1381.0,369.0,2
740,21500.85,21475.45,,,,,1000.0,813.0,,,,,879.0,1381.0,363.0,2
745,21478.71666666,21463.566666659997,,,,,1000.0,812.0,,,,,878.0,1381.0,316.0,2
750,21466.58333333,21377.35,,,,,1000.0,808.0,,,,,872.0,1381.0,379.0,2
755,21376.13333333,21394.63333333,,,,,1000.0,809.0,,,,,872.0,1381.0,381.0,2
760,21402.91666666,21451.233333329998,,,,,1000.0,811.0,,,,,870.0,1381.0,338.0,2
765,21454.6,21530.8,,,,,1000.0,814.0,,,,,874.0,1381.0,362.0,2
770,21540.316666659997,21550.78333333,,,,,1000.0,814.0,,,,,875.0,1381.0,341.0,2
775,21554.46666666,21434.18333333,,,,,1000.0,808.0,,,,,878.0,1381.0,396.0,2
780,21459.1,21377.88333333,,,,,1000.0,806.0,,,,,876.0,1381.0,457.0,2
785,21378.96666666,21369.0,,,,,1000.0,806.0,,,,,875.0,1381.0,355.0,2
790,21374.316666659997,21370.5,,,,,1000.0,805.0,,,,,874.0,1381.0,382.0,2
795,21388.05,21380.08333333,,,,,1000.0,805.0,,,,,872.0,1381.0,336.0,2
800,21379.15,21414.066666659997,,,,,1000.0,817.0,,,,,873.0,1381.0,363.0,2
805,21406.066666659997,21491.9,,,,,1000.0,824.0,,,,,873.0,1381.0,387.0,2
810,21471.68333333,21582.066666659997,,,,,1000.0,828.0,,,,,876.0,1381.0,366.0,2
815,21586.85,21556.36666666,,,,,1000.0,826.0,,,,,877.0,1381.0,359.0,2
820,21562.7,21467.8,,,,,1000.0,823.0,,,,,877.0,1381.0,344.0,2
825,21458.46666666,21385.35,,,,,1000.0,819.0,,,,,875.0,1381.0,391.0,2
830,21372.08333333,,,,,,1000.0,,,,,,875.0,1381.0,339.0,1
835,,,,,,,,,,,,,,1381.0,365.0,0
840,,,,,,,,,,,,,,,,0
880,0.0,0.0,0.0,,,,,,1000.0,,,,0.0,,,3
885,0.0,0.0,0.0,,,,1000.0,1000.0,1000.0,,,,0.0,,-1.0,3
890,380.7166666666,433.65,461.0666666666,,,,559.0,31.0,40.0,,,,244.0,-1.0,-1.0,3
895,1443.4833333333,1513.3333333332998,1559.7,,,,780.0,301.0,304.0,,,,463.0,1381.0,699.0,3
900,2968.8833333333,3032.3,3065.9833333333,,,,853.0,480.0,455.0,,,,578.0,1381.0,393.0,3
905,4531.43333333,4568.91666667,4594.96666667,,,,890.0,568.0,533.0,,,,634.0,1381.0,457.0,3
910,6019.71666667,6076.316666670001,6125.28333333,,,,912.0,614.0,577.0,,,,662.0,1381.0,400.0,3
915,7612.95,7685.883333329999,7712.81666666,,,,927.0,652.0,615.0,,,,686.0,1381.0,425.0,3
920,8903.26666666,8971.533333329999,9021.21666666,,,,937.0,663.0,623.0,,,,703.0,1381.0,368.0,3
925,10351.7,10411.783333329999,10462.783333329999,,,,945.0,677.0,634.0,,,,717.0,1381.0,424.0,3
930,11877.016666659998,11978.133333329999,11988.58333333,,,,951.0,693.0,649.0,,,,729.0,1381.0,400.0,3
935,13497.98333333,13494.83333333,13585.4,,,,956.0,712.0,671.0,,,,737.0,1381.0,392.0,3
940,15004.8,15072.5,15114.91666666,,,,960.0,724.0,680.0,,,,745.0,1381.0,407.0,3
