,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2
Timestamp,,,
1736777775000,3581.25,3004.9666666666,
1736777780000,3005.4333333333,3374.55,
1736777785000,3471.75,3806.13333333,
1736777790000,3639.36666667,4325.71666667,
1736777795000,3975.21666667,4136.55,
1736777800000,4182.76666667,4488.65,
1736777805000,4560.6,4306.96666667,
1736777810000,4348.73333333,4217.6,
1736777815000,4156.9,3860.43333333,
1736777820000,3813.98333333,3825.03333333,
1736777825000,3753.4166666700003,3312.8166666665998,
1736777830000,3204.95,2892.6,
1736777835000,3070.2833333333,3572.56666667,
1736777840000,3645.51666667,3644.35,
1736777845000,3634.7,3649.98333333,
1736777850000,3640.56666667,3711.7,
1736777855000,3826.0833333299997,3632.71666667,
1736777860000,3589.8,3285.5166666666,
1736777865000,3297.5666666665998,3686.71666667,
1736777870000,3765.48333333,4257.41666667,
1736777875000,4324.65,4177.98333333,
1736777880000,4267.38333333,3758.93333333,
1736777885000,3788.0833333299997,3800.21666667,
1736777890000,3818.8,4271.0,
1736777895000,4201.31666667,3903.55,
1736777900000,3946.76666667,3911.4,
1736777905000,3951.46666667,3534.0,
1736777910000,3438.98333333,,
1736777915000,,,
1736777945000,,0.0,
1736777950000,0.0,0.0,0.0
1736777955000,0.0,0.0,0.0
1736777960000,0.0,0.0,0.0
1736777965000,0.0,0.0,0.0
1736777970000,0.0,0.0,0.0
1736777975000,0.0,0.0,0.0
1736777980000,0.0,0.0,0.0
1736777985000,0.0,0.0,0.0
1736777990000,0.0,0.0,0.0
1736777995000,0.0,0.0,0.0
1736778000000,0.0,0.0,0.0
1736778005000,0.0,0.0,0.0
1736778010000,0.0,0.0,0.0
1736778015000,0.0,0.0,0.0
1736778020000,0.0,0.0,0.0
1736778025000,0.0,0.0,0.0
1736778030000,0.0,8.183333333333,0.0
1736778035000,3.333333333333,57.9,11.383333333333
1736778040000,43.5166666667,124.2666666666,70.8166666666
1736778045000,104.3833333333,221.6833333333,154.4
1736778050000,194.3333333333,338.55,252.9333333333
1736778055000,301.55,533.3,409.8666666666
1736778060000,476.7666666666,804.0833333333,628.4166666665999
1736778065000,731.3666666665999,900.0833333333,876.0
1736778070000,918.9666666666,955.5833333333,899.45
1736778075000,918.9666666666,955.5833333333,953.6666666665999
1736778080000,918.9666666666,1127.6833333333,968.5166666665999
1736778085000,1057.0333333332999,1185.85,1176.8333333333
1736778090000,1205.15,1226.1666666666,1222.7166666665998
1736778095000,1201.8166666666,1365.3166666666,1227.1666666666
1736778100000,1307.0333333332999,1672.35,1462.6
1736778105000,1626.2,2023.15,1812.95
1736778110000,1978.5666666666,2023.15,2085.7
1736778115000,2081.8333333333,1999.5666666666,2030.75
1736778120000,2074.8166666665998,2072.2,2060.0333333333
1736778125000,2148.4,2163.05,2228.8
1736778130000,2406.75,2523.35,2652.0833333333003
1736778135000,2840.6333333333,2884.4833333333004,2903.4
1736778140000,3014.95,2910.1166666666,2986.1
1736778145000,3103.2166666666,3123.7833333333,3153.9833333333004
1736778150000,3188.6666666666,3157.75,3108.1
1736778155000,3188.6666666666,3206.8333333333003,3197.2666666666
1736778160000,3198.25,3255.3833333333,3157.15
1736778165000,3224.5666666665998,3255.3833333333,3185.6666666666
1736778170000,3297.0833333333003,3233.7166666666,3178.0166666666
1736778175000,3246.2333333333004,3195.2,3149.85
1736778180000,3275.0666666665998,3273.1166666666,3273.2333333333004
1736778185000,3506.48333333,3363.0833333299997,3331.5333333333
1736778190000,3446.9,3321.45,3347.0
1736778195000,,,
