,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1701952240000,0.0,0.0,0.0,188.4833333333,,,
1701952245000,211.2833333333,197.5,210.5833333333,414.95,,,
1701952250000,211.2833333333,423.8,428.3666666666,839.3166666666,,,
1701952255000,645.1333333333,857.1166666666,865.1,1418.5166666666,,,
1701952260000,1306.05,1447.6833333332997,1520.2333333333,2157.2333333333,,,
1701952265000,2235.4833333333,2199.9333333332997,2240.1833333332997,3162.15,,,
1701952270000,3034.1833333332997,3223.4666666666,3254.5166666665996,4015.9,,,
1701952275000,4170.13333333,4116.76666667,4193.31666667,4671.75,,,
1701952280000,4658.4,4763.56666667,4812.78333333,5510.96666667,,,
1701952285000,5635.95,5643.16666667,5799.116666670001,6362.1,,,
1701952290000,6374.116666670001,6485.316666670001,6572.5,7191.58333333,,,
1701952295000,7466.933333329999,7352.2,7582.633333329999,8162.76666666,,,
1701952300000,8476.45,8359.5,8501.45,8808.883333329999,,,
1701952305000,9004.85,8994.25,9179.18333333,9527.73333333,,,
1701952310000,9951.21666666,9709.283333329999,9799.43333333,9943.65,,,
1701952315000,10538.533333329999,10146.31666666,10243.05,10369.25,,,
1701952320000,10885.5,10562.3,10608.55,10562.73333333,,,
1701952325000,10920.133333329999,10769.133333329999,10840.65,10369.7,,,
1701952330000,10963.1,10557.73333333,10878.25,10474.46666666,,,
1701952335000,10774.48333333,10816.283333329999,10883.3,10839.36666666,,,
1701952340000,11385.45,11062.4,11201.633333329999,10805.95,,,
1701952345000,11257.3,10986.11666666,11053.533333329999,10873.08333333,,,
1701952350000,11230.61666666,11078.45,11157.46666666,10861.61666666,,,
1701952355000,11192.9,11007.9,10986.58333333,11260.783333329999,,,
1701952360000,11627.516666659998,11444.96666666,11542.16666666,11345.1,,,
1701952365000,11842.75,11525.61666666,11546.966666659999,11330.633333329999,,,
1701952370000,11877.45,11544.2,11656.616666659998,11474.75,,,
1701952375000,11944.43333333,11706.35,11975.45,11394.46666666,,,
1701952380000,11832.41666666,11612.6,11980.15,11640.1,,,
1701952385000,11834.08333333,11856.15,11979.05,11833.216666659999,,,
1701952390000,12225.65,12004.133333329999,11953.75,11931.1,,,
1701952395000,12177.58333333,11991.45,12105.383333329999,11873.93333333,,,
