,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength
,Sink:_Sink
,0
Timestamp,
1722074245000,1.0
1722074250000,1.0
1722074255000,11.0
1722074260000,1.0
1722074265000,1.0
1722074270000,1.0
1722074275000,1.0
1722074280000,1.0
1722074285000,1.0
1722074290000,1.0
1722074295000,1.0
1722074300000,1.0
1722074305000,1.0
1722074310000,4.0
1722074315000,1.0
1722074320000,1.0
1722074325000,1.0
1722074330000,1.0
1722074335000,1.0
1722074340000,1.0
1722074345000,3.0
1722074350000,1.0
1722074355000,1.0
1722074360000,1.0
1722074365000,1.0
1722074370000,1.0
1722074375000,1.0
1722074380000,1.0
1722074385000,1.0
1722074390000,1.0
1722074395000,1.0
1722074400000,1.0
1722074405000,1.0
1722074410000,1.0
1722074415000,1.0
1722074420000,1.0
1722074425000,1.0
1722074430000,2.0
1722074435000,1.0
1722074440000,1.0
1722074445000,1.0
1722074450000,1.0
1722074455000,1.0
1722074460000,
1722074465000,1.0
1722074470000,
1722074475000,
1722074480000,1.0
1722074485000,
1722074490000,1.0
1722074495000,
1722074525000,0.0
1722074530000,1.0
1722074535000,1.0
1722074540000,1.0
1722074545000,2.0
1722074550000,1.0
1722074555000,1.0
1722074560000,1.0
1722074565000,1.0
1722074570000,1.0
1722074575000,1.0
1722074580000,2.0
1722074585000,1.0
1722074590000,1.0
1722074595000,1.0
1722074600000,1.0
1722074605000,1.0
1722074610000,4.0
1722074615000,1.0
1722074620000,1.0
1722074625000,1.0
1722074630000,1.0
1722074635000,1.0
1722074640000,3.0
1722074645000,1.0
1722074650000,1.0
1722074655000,1.0
1722074660000,1.0
1722074665000,1.0
1722074670000,1.0
1722074675000,1.0
1722074680000,1.0
1722074685000,1.0
1722074690000,1.0
1722074695000,1.0
1722074700000,1.0
1722074705000,1.0
1722074710000,1.0
1722074715000,1.0
1722074720000,1.0
1722074725000,1.0
1722074730000,1.0
1722074735000,1.0
1722074740000,2.0
1722074745000,1.0
1722074750000,1.0
1722074755000,1.0
1722074760000,1.0
1722074765000,1.0
1722074770000,1.0
1722074775000,1.0
1722074780000,1.0
1722074785000,1.0
1722074790000,1.0
1722074795000,1.0
1722074800000,1.0
1722074805000,1.0
1722074810000,1.0
1722074815000,1.0
1722074820000,1.0
1722074825000,1.0
1722074830000,1.0
1722074835000,1.0
1722074840000,1.0
1722074845000,
1722074850000,1.0
1722074855000,1.0
1722074860000,1.0
1722074865000,1.0
1722074870000,1.0
1722074875000,1.0
