,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1706533135000,10287.1,10511.05,10264.23333333,10357.75,9976.8,,
1706533140000,10195.23333333,10343.783333329999,10096.283333329999,10180.68333333,9841.4,,
1706533145000,10235.033333329999,10415.283333329999,10128.1,10223.51666666,9825.6,,
1706533150000,10341.86666666,10546.91666666,10330.08333333,10407.86666666,10050.73333333,,
1706533155000,10608.43333333,10894.73333333,10728.76666666,10822.25,10419.23333333,,
1706533160000,10768.533333329999,10735.46666666,10526.08333333,10639.05,10232.5,,
1706533165000,10838.93333333,10810.6,10759.83333333,10856.71666666,10464.133333329999,,
1706533170000,11271.3,11154.7,10933.48333333,11002.6,10614.0,,
1706533175000,11061.08333333,11299.71666666,11073.51666666,11136.56666666,10762.55,,
1706533180000,10920.01666666,11255.51666666,10793.533333329999,10872.26666666,10500.633333329999,,
1706533185000,11187.48333333,11325.08333333,10875.36666666,11161.61666666,10775.45,,
1706533190000,10988.85,11215.51666666,10966.91666666,11034.5,10689.75,,
1706533195000,11265.2,11287.633333329999,11076.25,11129.25,10739.65,,
1706533200000,11226.86666666,11581.266666659998,11165.6,11422.35,11015.58333333,,
1706533205000,11264.08333333,11299.383333329999,11196.51666666,11198.31666666,10940.533333329999,,
1706533210000,11427.783333329999,11457.95,11218.86666666,11281.1,10878.86666666,,
1706533215000,11507.36666666,11400.4,11184.033333329999,11233.98333333,10888.8,,
1706533220000,11311.66666666,11626.533333329999,11404.58333333,11441.383333329999,11102.11666666,,
1706533225000,11324.86666666,11470.48333333,11245.46666666,11278.81666666,10911.33333333,,
1706533230000,11292.61666666,11414.76666666,11183.86666666,11241.4,10888.51666666,,
1706533235000,11409.55,11366.23333333,11139.43333333,11204.43333333,10826.633333329999,,
1706533240000,11291.08333333,11454.883333329999,11384.9,11497.98333333,11067.35,,
1706533245000,11296.41666666,11306.35,11200.31666666,11131.95,10647.65,,
1706533250000,11477.56666666,11704.93333333,11492.45,11565.15,11153.81666666,,
1706533255000,11382.35,11745.45,,11459.08333333,11039.31666666,,
1706533260000,,,,,,,
1706533300000,0.0,0.0,,0.0,,0.0,
1706533305000,0.0,0.0,0.0,0.0,0.0,0.0,
1706533310000,135.9666666666,118.7333333333,0.0,0.0,0.0,0.0,
1706533315000,135.9666666666,431.75,134.6,131.8333333333,129.5,134.1833333333,
1706533320000,355.15,751.3166666666,460.4333333333,472.9166666666,442.1333333333,451.85,
1706533325000,829.05,1119.6333333333,759.85,813.3,746.9,747.4,
1706533330000,1210.6333333333,1574.1,1165.7333333333,1237.0166666666,1131.5333333333,1113.5333333333,
1706533335000,1443.2666666666,2038.45,1607.05,1704.0833333332998,1565.9,1584.6666666666,
1706533340000,2150.5,2872.8166666666,2172.05,2209.0,2026.7666666666,2143.1166666666,
1706533345000,2777.6,3494.11666667,2903.6833333332997,3110.3,2859.9,2859.45,
1706533350000,3669.73333333,4272.8,3701.78333333,3788.73333333,3641.7,3645.23333333,
1706533355000,4477.9,4847.3,4365.86666667,4626.91666667,4296.71666667,4288.81666667,
1706533360000,5080.81666667,5694.18333333,5131.01666667,5431.71666667,5046.4,5053.01666667,
1706533365000,5971.633333329999,6541.066666670001,5801.816666670001,6171.08333333,5670.96666667,5669.4,
1706533370000,6620.4,6978.11666666,6612.633333329999,7082.31666666,6516.96666667,6506.33333333,
1706533375000,7310.25,7484.7,7211.133333329999,7554.91666666,6938.133333329999,7100.883333329999,
1706533380000,7935.65,8006.86666666,7758.133333329999,8105.3,7555.483333329999,7643.96666666,
1706533385000,8350.05,8461.56666666,8096.05,8680.133333329999,7973.733333329999,7960.71666666,
1706533390000,8850.18333333,8781.0,8662.36666666,9149.783333329999,8421.43333333,8432.66666666,
1706533395000,9408.65,9314.41666666,9008.45,9510.48333333,8839.48333333,8855.1,
1706533400000,9562.41666666,9112.23333333,9361.93333333,10117.26666666,9330.21666666,9215.83333333,
1706533405000,9798.0,9465.95,9336.91666666,9917.98333333,9186.383333329999,9175.35,
1706533410000,9750.81666666,9414.98333333,9474.61666666,10233.43333333,9332.65,9331.3,
1706533415000,9833.58333333,9585.31666666,9618.01666666,10198.18333333,9333.96666666,9482.56666666,
1706533420000,9922.11666666,9725.4,9577.91666666,10066.55,9382.43333333,9432.41666666,
1706533425000,10182.58333333,9678.883333329999,9821.81666666,10521.883333329999,9684.66666666,9689.16666666,
1706533430000,10387.1,9992.86666666,9994.0,10662.48333333,9797.83333333,9848.46666666,
1706533435000,10404.9,9912.21666666,10078.36666666,10820.58333333,9949.86666666,9916.23333333,
1706533440000,10349.06666666,10085.6,9933.95,10682.533333329999,9706.56666666,9631.633333329999,
1706533445000,10329.95,9912.95,10200.66666666,10914.96666666,10043.71666666,10060.76666666,
1706533450000,10155.01666666,9967.3,9911.8,10726.36666666,9860.73333333,9893.15,
1706533455000,10455.45,9782.26666666,9949.93333333,10807.26666666,9860.2,9881.46666666,
1706533460000,10449.81666666,10160.5,10049.3,10561.7,9688.2,9900.23333333,
1706533465000,10433.08333333,9903.56666666,10192.95,10994.46666666,10044.05,10059.18333333,
1706533470000,10554.05,10140.86666666,10133.81666666,10744.73333333,9829.15,9844.66666666,
1706533475000,10565.1,10278.01666666,10253.4,10882.75,10155.95,10097.41666666,
1706533480000,10863.133333329999,10088.08333333,10301.283333329999,11286.36666666,10199.0,10146.46666666,
1706533485000,10571.51666666,10286.133333329999,10244.01666666,11002.76666666,10125.56666666,10111.46666666,
1706533490000,10775.7,10214.01666666,10289.18333333,10957.45,10120.93333333,10151.58333333,
1706533495000,10758.71666666,10393.51666666,10360.96666666,11069.68333333,10167.9,10211.8,
1706533500000,10786.56666666,10303.783333329999,10473.68333333,11327.18333333,10470.65,10464.21666666,
1706533505000,10836.75,10584.73333333,10456.58333333,11168.883333329999,10271.86666666,10295.1,
1706533510000,11313.91666666,10501.96666666,10692.75,11470.48333333,10530.01666666,10513.16666666,
1706533515000,0.0,,10754.8,,10544.41666666,,
1706533520000,0.0,0.0,,0.0,,0.0,
1706533525000,707.1,1428.0833333333,859.2833333333,830.0166666666,762.4,847.0,
1706533530000,,,,,,,
1706533575000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1706533580000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1706533585000,73.2166666666,0.0,79.7833333333,83.2,0.0,77.2666666666,75.2666666666
1706533590000,352.2333333333,77.5666666666,357.5,363.6333333333,70.6166666666,355.2666666666,340.45
1706533595000,648.7833333333,353.4166666666,664.8333333333,710.75,327.88333333329996,657.4666666666,651.25
1706533600000,1021.6333333333,657.95,1110.2166666665998,1187.4333333333,658.55,1201.1,1181.5666666666
1706533605000,1647.4666666665998,1100.0333333332999,1641.8666666666,1706.0833333332998,1100.9333333333,1623.2833333332999,1606.3333333333
