,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1737578920000,-9.223372036854775e+18
1737578925000,-9.223372036854775e+18
1737578930000,-9.223372036854775e+18
1737578935000,-9.223372036854775e+18
1737578940000,-9.223372036854775e+18
1737578945000,-9.223372036854775e+18
1737578950000,-9.223372036854775e+18
1737578955000,-9.223372036854775e+18
1737578960000,-9.223372036854775e+18
1737578965000,-9.223372036854775e+18
1737578970000,-9.223372036854775e+18
1737578975000,-9.223372036854775e+18
1737578980000,-9.223372036854775e+18
1737578985000,-9.223372036854775e+18
1737578990000,-9.223372036854775e+18
1737578995000,-9.223372036854775e+18
1737579000000,-9.223372036854775e+18
1737579005000,-9.223372036854775e+18
1737579010000,-9.223372036854775e+18
1737579015000,-9.223372036854775e+18
1737579020000,-9.223372036854775e+18
1737579025000,-9.223372036854775e+18
1737579030000,-9.223372036854775e+18
1737579035000,-9.223372036854775e+18
1737579040000,-9.223372036854775e+18
1737579045000,-9.223372036854775e+18
1737579050000,-9.223372036854775e+18
1737579055000,-9.223372036854775e+18
1737579060000,-9.223372036854775e+18
1737579065000,-9.223372036854775e+18
1737579070000,-9.223372036854775e+18
1737579075000,-9.223372036854775e+18
1737579080000,-9.223372036854775e+18
1737579085000,-9.223372036854775e+18
1737579090000,-9.223372036854775e+18
1737579095000,-9.223372036854775e+18
1737579100000,-9.223372036854775e+18
1737579105000,-9.223372036854775e+18
1737579110000,
1737579130000,-9.223372036854775e+18
1737579135000,-9.223372036854775e+18
1737579140000,-9.223372036854775e+18
1737579145000,-9.223372036854775e+18
1737579150000,-9.223372036854775e+18
1737579155000,-9.223372036854775e+18
1737579160000,-9.223372036854775e+18
1737579165000,-9.223372036854775e+18
1737579170000,-9.223372036854775e+18
1737579175000,-9.223372036854775e+18
1737579180000,-9.223372036854775e+18
1737579185000,-9.223372036854775e+18
1737579190000,-9.223372036854775e+18
1737579195000,-9.223372036854775e+18
