,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks
,0
Timestamp,
1736616645000,1000.0
1736616650000,1000.0
1736616655000,1000.0
1736616660000,1000.0
1736616665000,1000.0
1736616670000,1000.0
1736616675000,1000.0
1736616680000,1000.0
1736616685000,1000.0
1736616690000,1000.0
1736616695000,1000.0
1736616700000,1000.0
1736616705000,1000.0
1736616710000,1000.0
1736616715000,1000.0
1736616720000,1000.0
1736616725000,1000.0
1736616730000,
1736616825000,1000.0
1736616830000,322.0
1736616835000,284.0
1736616840000,188.0
1736616845000,330.0
1736616850000,464.0
1736616855000,554.0
1736616860000,617.0
1736616865000,665.0
1736616870000,703.0
1736616875000,732.0
1736616880000,757.0
1736616885000,777.0
1736616890000,834.0
1736616895000,896.0
1736616900000,980.0
1736616905000,1000.0
1736616910000,1000.0
1736616915000,1000.0
1736616920000,1000.0
1736616925000,1000.0
1736616930000,1000.0
1736616935000,1000.0
1736616940000,1000.0
1736616945000,1000.0
1736616950000,1000.0
1736616955000,1000.0
1736616960000,1000.0
1736616965000,1000.0
1736616970000,1000.0
1736616975000,1000.0
1736616980000,1000.0
1736616985000,1000.0
1736616990000,1000.0
1736616995000,1000.0
1736617000000,1000.0
1736617005000,1000.0
1736617010000,
1736617105000,1000.0
1736617110000,1000.0
1736617115000,0.0
1736617120000,0.0
1736617125000,266.0
1736617130000,449.0
1736617135000,560.0
1736617140000,633.0
1736617145000,686.0
1736617150000,725.0
1736617155000,756.0
1736617160000,780.0
1736617165000,800.0
1736617170000,817.0
1736617175000,934.0
1736617180000,1000.0
1736617185000,1000.0
1736617190000,1000.0
1736617195000,1000.0
1736617200000,1000.0
1736617205000,1000.0
1736617210000,1000.0
1736617215000,1000.0
1736617220000,1000.0
1736617225000,1000.0
1736617230000,1000.0
1736617235000,1000.0
1736617240000,1000.0
1736617245000,1000.0
1736617250000,1000.0
1736617255000,1000.0
1736617260000,1000.0
1736617265000,1000.0
1736617270000,1000.0
1736617275000,1000.0
1736617280000,1000.0
1736617285000,
1736617375000,1000.0
1736617380000,1000.0
1736617385000,0.0
1736617390000,72.0
1736617395000,374.0
1736617400000,531.0
1736617405000,625.0
1736617410000,687.0
1736617415000,732.0
1736617420000,766.0
1736617425000,792.0
1736617430000,813.0
1736617435000,830.0
1736617440000,844.0
1736617445000,958.0
1736617450000,999.0
1736617455000,1000.0
1736617460000,1000.0
1736617465000,1000.0
1736617470000,1000.0
1736617475000,1000.0
1736617480000,1000.0
1736617485000,1000.0
1736617490000,1000.0
1736617495000,1000.0
1736617500000,1000.0
1736617505000,1000.0
1736617510000,1000.0
1736617515000,1000.0
1736617520000,1000.0
1736617525000,1000.0
1736617530000,1000.0
1736617535000,1000.0
1736617540000,1000.0
1736617545000,1000.0
1736617550000,1000.0
1736617555000,1000.0
1736617560000,
1736617660000,1000.0
1736617665000,366.0
1736617670000,326.0
1736617675000,225.0
1736617680000,410.0
1736617685000,528.0
1736617690000,607.0
1736617695000,663.0
1736617700000,705.0
1736617705000,738.0
1736617710000,764.0
1736617715000,786.0
1736617720000,804.0
1736617725000,856.0
1736617730000,916.0
1736617735000,997.0
1736617740000,1000.0
1736617745000,1000.0
1736617750000,1000.0
1736617755000,1000.0
1736617760000,1000.0
1736617765000,1000.0
1736617770000,1000.0
1736617775000,1000.0
1736617780000,1000.0
1736617785000,1000.0
1736617790000,1000.0
1736617795000,1000.0
1736617800000,1000.0
1736617805000,1000.0
1736617810000,1000.0
1736617815000,1000.0
