,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736613520000,-9.223372036854775e+18
1736613525000,-9.223372036854775e+18
1736613530000,-9.223372036854775e+18
1736613535000,-9.223372036854775e+18
1736613540000,-9.223372036854775e+18
1736613545000,-9.223372036854775e+18
1736613550000,-9.223372036854775e+18
1736613555000,-9.223372036854775e+18
1736613560000,-9.223372036854775e+18
1736613565000,-9.223372036854775e+18
1736613570000,
1736613660000,-9.223372036854775e+18
1736613665000,-9.223372036854775e+18
1736613670000,-9.223372036854775e+18
1736613675000,-9.223372036854775e+18
1736613680000,-9.223372036854775e+18
1736613685000,-9.223372036854775e+18
1736613690000,-9.223372036854775e+18
1736613695000,-9.223372036854775e+18
1736613700000,-9.223372036854775e+18
1736613705000,-9.223372036854775e+18
1736613710000,-9.223372036854775e+18
1736613715000,-9.223372036854775e+18
1736613720000,-9.223372036854775e+18
1736613725000,-9.223372036854775e+18
1736613730000,-9.223372036854775e+18
1736613735000,-9.223372036854775e+18
1736613740000,-9.223372036854775e+18
1736613745000,-9.223372036854775e+18
1736613750000,-9.223372036854775e+18
1736613755000,-9.223372036854775e+18
1736613760000,-9.223372036854775e+18
1736613765000,-9.223372036854775e+18
1736613770000,-9.223372036854775e+18
1736613775000,-9.223372036854775e+18
1736613780000,-9.223372036854775e+18
1736613785000,-9.223372036854775e+18
1736613790000,-9.223372036854775e+18
1736613795000,-9.223372036854775e+18
1736613800000,-9.223372036854775e+18
1736613805000,-9.223372036854775e+18
1736613810000,-9.223372036854775e+18
1736613815000,-9.223372036854775e+18
1736613820000,-9.223372036854775e+18
1736613825000,-9.223372036854775e+18
1736613830000,-9.223372036854775e+18
1736613835000,-9.223372036854775e+18
1736613840000,
1736613940000,-9.223372036854775e+18
1736613945000,-9.223372036854775e+18
1736613950000,-9.223372036854775e+18
1736613955000,-9.223372036854775e+18
1736613960000,-9.223372036854775e+18
1736613965000,-9.223372036854775e+18
1736613970000,-9.223372036854775e+18
1736613975000,-9.223372036854775e+18
1736613980000,-9.223372036854775e+18
1736613985000,-9.223372036854775e+18
1736613990000,-9.223372036854775e+18
1736613995000,-9.223372036854775e+18
1736614000000,-9.223372036854775e+18
1736614005000,-9.223372036854775e+18
1736614010000,-9.223372036854775e+18
1736614015000,-9.223372036854775e+18
1736614020000,-9.223372036854775e+18
1736614025000,-9.223372036854775e+18
1736614030000,-9.223372036854775e+18
1736614035000,-9.223372036854775e+18
1736614040000,-9.223372036854775e+18
1736614045000,-9.223372036854775e+18
1736614050000,-9.223372036854775e+18
1736614055000,-9.223372036854775e+18
1736614060000,-9.223372036854775e+18
1736614065000,-9.223372036854775e+18
1736614070000,-9.223372036854775e+18
1736614075000,-9.223372036854775e+18
1736614080000,-9.223372036854775e+18
1736614085000,-9.223372036854775e+18
1736614090000,-9.223372036854775e+18
1736614095000,-9.223372036854775e+18
1736614100000,-9.223372036854775e+18
1736614105000,-9.223372036854775e+18
1736614110000,-9.223372036854775e+18
1736614115000,-9.223372036854775e+18
1736614120000,
1736614215000,-9.223372036854775e+18
1736614220000,-9.223372036854775e+18
1736614225000,-9.223372036854775e+18
1736614230000,-9.223372036854775e+18
1736614235000,-9.223372036854775e+18
1736614240000,-9.223372036854775e+18
1736614245000,-9.223372036854775e+18
1736614250000,-9.223372036854775e+18
1736614255000,-9.223372036854775e+18
1736614260000,-9.223372036854775e+18
1736614265000,-9.223372036854775e+18
1736614270000,-9.223372036854775e+18
1736614275000,-9.223372036854775e+18
1736614280000,-9.223372036854775e+18
1736614285000,-9.223372036854775e+18
1736614290000,-9.223372036854775e+18
1736614295000,-9.223372036854775e+18
1736614300000,-9.223372036854775e+18
1736614305000,-9.223372036854775e+18
1736614310000,-9.223372036854775e+18
1736614315000,-9.223372036854775e+18
1736614320000,-9.223372036854775e+18
1736614325000,-9.223372036854775e+18
1736614330000,-9.223372036854775e+18
1736614335000,-9.223372036854775e+18
1736614340000,-9.223372036854775e+18
1736614345000,-9.223372036854775e+18
1736614350000,-9.223372036854775e+18
1736614355000,-9.223372036854775e+18
1736614360000,-9.223372036854775e+18
1736614365000,-9.223372036854775e+18
1736614370000,-9.223372036854775e+18
