,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722236820000,17680.51666666,16994.18333333,15623.48333333,17506.11666666,17209.86666666,16441.16666666,,
1722236825000,19363.11666666,18704.51666666,17325.68333333,19208.93333333,18932.7,18141.26666666,,
1722236830000,20305.6,20415.91666666,19004.03333333,20241.4,20516.13333333,19846.86666666,,
1722236835000,20229.43333333,20292.28333333,20693.73333333,20161.0,20197.4,20327.66666666,,
1722236840000,20169.18333333,20193.36666666,20213.95,20150.11666666,20097.3,20166.05,,
1722236845000,20084.61666666,20107.28333333,20153.36666666,20122.76666666,19987.26666666,20111.43333333,,
1722236850000,19913.71666666,20009.21666666,20104.81666666,19997.55,19955.88333333,20084.86666666,,
1722236855000,19613.51666666,19753.06666666,19986.3,19702.31666666,19708.31666666,19811.08333333,,
1722236860000,19327.3,19447.51666666,19704.98333333,19434.35,19415.0,19571.15,,
1722236865000,19041.18333333,19144.23333333,19408.93333333,19109.56666666,19102.13333333,19270.15,,
1722236870000,18739.0,18804.3,19091.11666666,18811.4,18819.26666666,18945.55,,
1722236875000,18416.1,18554.01666666,18804.68333333,18499.36666666,18517.16666666,18646.86666666,,
1722236880000,18106.85,18232.41666666,18490.25,18193.28333333,18189.66666666,18351.51666666,,
1722236885000,17808.36666666,17911.21666666,18176.73333333,17875.48333333,17855.83333333,18038.66666666,,
1722236890000,17510.43333333,17588.0,17880.36666666,17567.88333333,17658.0,17721.61666666,,
1722236895000,17254.25,17387.06666666,17586.9,17343.21666666,17412.11666666,17395.2,,
1722236900000,16976.58333333,17131.03333333,17333.16666666,17057.88333333,17168.11666666,17223.85,,
1722236905000,16815.81666666,16849.11666666,17061.3,16839.36666666,16950.45,16966.45,,
1722236910000,16665.91666666,16664.01666666,16784.06666666,16671.8,16719.11666666,16730.9,,
1722236915000,16662.61666666,16669.03333333,16667.58333333,16662.01666666,16666.56666666,16667.4,,
1722236920000,16653.45,16667.26666666,16667.48333333,16655.55,16659.6,16656.18333333,,
1722236925000,16670.66666666,16657.75,16657.73333333,16668.1,16658.46666666,16667.3,,
1722236930000,16669.56666666,16665.9,16653.7,16663.95,16665.3,16660.3,,
1722236935000,16666.15,16666.63333333,16666.68333333,16670.233333329998,16664.38333333,16674.15,,
1722236940000,16666.25,16666.816666659997,16666.6,16667.45,16667.08333333,16668.5,,
1722236945000,16668.86666666,16664.78333333,16666.68333333,16669.71666666,16665.983333329998,16668.983333329998,,
1722236950000,16666.9,16666.15,16674.18333333,16667.36666666,16669.16666666,16670.05,,
1722236955000,16667.63333333,16675.9,16668.25,16669.18333333,16664.05,16675.266666659998,,
1722236960000,16675.11666666,16669.766666659998,16668.45,16669.88333333,16668.11666666,16671.78333333,,
1722236965000,16669.38333333,16666.233333329998,16672.11666666,16668.88333333,16671.41666666,16672.3,,
1722236970000,16666.53333333,16673.8,16676.45,16667.45,16666.15,16670.85,,
1722236975000,16673.38333333,16666.733333329998,16668.816666659997,16674.2,16668.83333333,16674.983333329998,,
1722236980000,16674.46666666,16674.16666666,16670.766666659998,16674.1,16674.46666666,16672.16666666,,
1722236985000,16669.55,16672.58333333,16669.45,16662.483333329998,16670.88333333,16669.36666666,,
1722236990000,,,0.0,,0.0,0.0,,
1722236995000,1371.45,0.0,0.0,1850.6833333333,1732.2333333333,0.0,,
1722237000000,,,,,,,,
1722237020000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1722237025000,0.0,133.4666666666,462.0833333333,364.4833333333,186.6333333333,0.0,0.0,
1722237030000,1008.6333333333,1453.0333333332999,2115.6833333332997,2031.1,1667.1666666666,201.4833333333,941.7833333333,
1722237035000,2766.3,3125.6166666665995,3787.4,3713.51666667,3388.81666667,1780.1833333332997,2605.7833333332997,
1722237040000,4463.91666667,4804.63333333,5457.15,5353.53333333,5056.06666667,3460.45,4273.7,
1722237045000,6153.08333333,6506.816666670001,7141.8,7032.05,6742.9,5140.55,5950.016666670001,
