,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1737113970000,17304.7,17191.36666666,17199.38333333,16823.76666666,16738.23333333,17328.46666666,16996.08333333,17234.21666666
1737113975000,17029.41666666,17172.41666666,17007.06666666,17363.95,17269.2,16911.33333333,16588.38333333,16839.61666666
1737113980000,17148.46666666,17337.88333333,17172.85,17251.38333333,16975.36666666,17301.85,16959.28333333,17195.3
1737113985000,17360.13333333,17103.38333333,16956.51666666,17237.78333333,16987.55,17125.31666666,16776.85,17269.15
1737113990000,17029.91666666,16711.06666666,16590.93333333,17291.85,17194.83333333,17162.21666666,16836.51666666,16559.13333333
1737113995000,17231.81666666,17106.55,17125.0,16721.35,16765.26666666,17238.81666666,16898.88333333,17143.38333333
1737114000000,16925.83333333,17536.45,17402.63333333,17272.31666666,17175.96666666,17232.53333333,16918.03333333,16737.6
1737114005000,18093.4,16396.01666666,16232.2,17200.51666666,17303.48333333,17694.2,17346.65,17740.65
1737114010000,15952.6,13924.23333333,13800.55,16611.76666666,16591.05,15450.61666666,15352.8,15704.8
1737114015000,13949.73333333,15030.86666666,14916.23333333,14052.98333333,14089.96666666,14394.23333333,14136.45,13850.26666666
1737114020000,14992.33333333,14824.5,14685.05,15139.93333333,15057.86666666,14539.9,14227.08333333,14754.05
1737114025000,15603.91666666,16570.81666666,16414.85,14726.68333333,14488.73333333,15352.95,14996.75,15544.6
1737114030000,16570.53333333,16972.86666666,16830.28333333,16312.85,16087.05,17031.98333333,16685.7,16707.43333333
1737114035000,17466.73333333,17117.21666666,16967.18333333,16917.58333333,16821.61666666,17218.43333333,16869.53333333,17400.68333333
1737114040000,16698.93333333,16657.03333333,16519.55,17113.48333333,17187.46666666,16837.05,16512.46666666,16505.61666666
1737114045000,,,,16677.41666666,16731.16666666,,17115.85,
1737114050000,,,,,,,,
