,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink,Source:_Source,Map,Map,Map,Map,Map,Map,Map,Sink:_Sink
,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0,0,0,1,2,3,4,5,6,0
Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722244715000,0.0,9.0,7.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,301.0,287.0,,,,,,0.0
1722244720000,0.0,9.0,1.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,303.0,33.0,,,,,,0.0
1722244725000,0.0,9.0,3.0,,,,,,1.0,9.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,335.0,100.0,,,,,,0.0
1722244730000,0.0,10.0,5.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,335.0,202.0,,,,,,0.0
1722244735000,0.0,10.0,1.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,402.0,33.0,,,,,,0.0
1722244740000,0.0,9.0,3.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,303.0,36.0,,,,,,0.0
1722244745000,0.0,9.0,0.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,301.0,67.0,,,,,,0.0
1722244750000,0.0,11.0,4.0,,,,,,1.0,12.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,442.0,161.0,,,,,,0.0
1722244755000,0.0,9.0,2.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,301.0,33.0,,,,,,0.0
1722244760000,0.0,10.0,0.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,363.0,33.0,,,,,,0.0
1722244765000,0.0,9.0,0.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,301.0,32.0,,,,,,0.0
1722244770000,0.0,11.0,5.0,,,,,,1.0,12.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,335.0,100.0,,,,,,0.0
1722244775000,0.0,10.0,0.0,,,,,,1.0,9.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,361.0,33.0,,,,,,0.0
1722244780000,0.0,8.0,2.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,301.0,67.0,,,,,,0.0
1722244785000,0.0,10.0,1.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,321.0,68.0,,,,,,0.0
1722244790000,0.0,10.0,4.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,368.0,100.0,,,,,,0.0
1722244795000,0.0,9.0,1.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,363.0,40.0,,,,,,0.0
1722244800000,0.0,9.0,2.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,303.0,67.0,,,,,,0.0
1722244805000,0.0,10.0,1.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,303.0,33.0,,,,,,0.0
1722244810000,0.0,10.0,7.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,336.0,241.0,,,,,,0.0
1722244815000,0.0,10.0,2.0,,,,,,1.0,11.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,402.0,100.0,,,,,,0.0
1722244820000,0.0,9.0,0.0,,,,,,1.0,10.0,1.0,1.0,,,,,,0.0,-9.223372036854775e+18,301.0,33.0,,,,,,0.0
