,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709767990000,873.0,980.0,475.0,461.0,,
1709767995000,839.0,981.0,452.0,457.0,,
1709768000000,809.0,986.0,448.0,451.0,,
1709768005000,786.0,990.0,456.0,462.0,,
1709768010000,763.0,994.0,458.0,466.0,,
1709768015000,739.0,995.0,462.0,463.0,,
1709768020000,716.0,997.0,460.0,471.0,,
1709768025000,673.0,998.0,450.0,468.0,,
1709768030000,635.0,1000.0,443.0,460.0,,
1709768035000,612.0,1000.0,444.0,459.0,,
1709768040000,607.0,1000.0,438.0,451.0,,
1709768045000,604.0,1000.0,442.0,455.0,,
1709768050000,599.0,1000.0,435.0,442.0,,
1709768055000,614.0,999.0,449.0,455.0,,
1709768060000,611.0,999.0,448.0,455.0,,
1709768065000,603.0,999.0,442.0,443.0,,
1709768070000,599.0,999.0,449.0,450.0,,
1709768075000,601.0,999.0,441.0,451.0,,
1709768080000,594.0,999.0,434.0,441.0,,
1709768085000,617.0,999.0,444.0,453.0,,
1709768090000,650.0,996.0,445.0,451.0,,
1709768095000,661.0,996.0,439.0,455.0,,
1709768100000,649.0,996.0,442.0,458.0,,
1709768105000,666.0,996.0,441.0,460.0,,
1709768110000,666.0,996.0,454.0,464.0,,
1709768115000,678.0,993.0,443.0,460.0,,
1709768120000,689.0,992.0,440.0,459.0,,
1709768125000,703.0,991.0,444.0,462.0,,
1709768130000,703.0,991.0,445.0,459.0,,
1709768135000,722.0,991.0,461.0,468.0,,
1709768140000,738.0,991.0,461.0,464.0,,
1709768145000,729.0,990.0,460.0,457.0,,
1709768150000,717.0,994.0,465.0,472.0,,
1709768155000,721.0,994.0,471.0,473.0,,
1709768160000,760.0,994.0,517.0,521.0,,
1709768165000,759.0,994.0,568.0,549.0,,
1709768170000,760.0,991.0,577.0,534.0,,
1709768175000,769.0,982.0,597.0,545.0,,
1709768180000,773.0,983.0,590.0,537.0,,
