,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1709767165000,31926.11666666,15166.383333329999,,,,
1709767170000,31865.53333333,15388.616666659998,,,,
1709767175000,29517.86666666,14138.716666659999,,,,
1709767180000,28215.16666666,13598.43333333,,,,
1709767185000,29057.71666666,13836.9,,,,
1709767190000,27862.016666659998,13186.533333329999,,,,
1709767195000,26487.96666666,12669.533333329999,,,,
1709767200000,27368.03333333,13047.716666659999,,,,
1709767205000,26097.11666666,12497.116666659998,,,,
1709767210000,24665.633333330003,11625.68333333,,,,
1709767215000,25588.7,12126.35,,,,
1709767220000,25371.78333333,12074.83333333,,,,
1709767225000,23710.86666666,11426.95,,,,
1709767230000,23653.7,11167.93333333,,,,
1709767235000,24660.86666666,11666.98333333,,,,
1709767240000,23883.133333330003,11278.21666666,,,,
1709767245000,23531.0,11099.4,,,,
1709767250000,23750.833333330003,11412.36666666,,,,
1709767255000,23365.633333330003,11130.71666666,,,,
1709767260000,22603.1,10738.08333333,,,,
1709767265000,22233.85,10404.16666666,,,,
1709767270000,20289.45,9626.65,,,,
1709767275000,17546.7,8218.81666666,,,,
1709767280000,15767.466666659999,7414.1,,,,
1709767285000,14443.25,6717.65,,,,
1709767290000,11945.73333333,5578.3,,,,
1709767295000,9863.36666666,4716.08333333,,,,
1709767300000,10254.43333333,4890.46666667,,,,
1709767305000,10948.48333333,5311.91666667,,,,
1709767310000,12003.3,5694.5,,,,
1709767315000,12831.3,6226.383333329999,,,,
1709767320000,14405.3,6936.95,,,,
1709767325000,15247.516666659998,7658.25,,,,
1709767330000,18923.36666666,9455.4,,,,
1709767335000,22801.91666666,11361.45,,,,
1709767340000,25308.05,12522.93333333,,,,
1709767345000,28524.333333330003,14109.65,,,,
1709767350000,32044.36666666,15779.23333333,,,,
1709767355000,34557.56666666,16930.38333333,,,,
1709767360000,36393.3,17709.66666666,,,,
1709767365000,36570.78333333,17903.53333333,,,,
1709767370000,36735.733333330005,17894.21666666,,,,
1709767375000,37696.61666666,18275.016666659998,,,,
1709767380000,37448.233333330005,18223.35,,,,
1709767385000,37632.13333333,18103.75,,,,
1709767390000,,,,,,
1709767435000,,0.0,,,,
1709767440000,0.0,0.0,0.0,,,
1709767445000,0.0,330.95,0.0,,,
1709767450000,0.0,1233.0666666666,61.7833333333,,,
1709767455000,154.1833333333,2069.5833333333,148.05,,,
1709767460000,266.5833333333,4355.2,354.15,,,
1709767465000,705.1,6865.11666666,792.2166666666,,,
1709767470000,1179.5166666666,11230.283333329999,1192.45,,,
1709767475000,2206.1,15324.85,2115.0833333333,,,
1709767480000,3498.83333333,18932.63333333,3470.31666667,,,
1709767485000,4725.76666667,21010.58333333,4597.4,,,
1709767490000,5104.75,21391.3,4978.36666667,,,
1709767495000,5104.75,21794.983333329998,5009.1,,,
1709767500000,5266.35,24072.766666659998,5165.6,,,
1709767505000,5882.366666670001,27780.66666666,5638.85,,,
1709767510000,6754.983333329999,30821.4,6413.83333333,,,
1709767515000,7746.91666666,35685.38333333,7463.0,,,
1709767520000,9758.5,39028.43333333,9292.93333333,,,
1709767525000,11329.033333329999,41576.26666666,10799.08333333,,,
1709767530000,12588.6,41433.6,12007.4,,,
1709767535000,12523.85,42580.41666666,12017.93333333,,,
1709767540000,13023.2,44627.43333333,12486.6,,,
1709767545000,13724.533333329999,46784.0,13076.65,,,
1709767550000,14647.633333329999,50381.05,13959.883333329999,,,
1709767555000,16273.58333333,54367.41666666001,15603.966666659999,,,
1709767560000,18435.8,56137.93333333,17488.58333333,,,
1709767565000,19049.2,58123.98333333,18382.8,,,
1709767570000,19924.05,58629.91666666001,19104.8,,,
1709767575000,20141.816666659997,56494.3,19362.733333329998,,,
1709767580000,19161.066666659997,56083.9,18407.8,,,
1709767585000,19097.08333333,56308.733333330005,18277.8,,,
1709767590000,19232.36666666,56145.45,18450.88333333,,,
1709767595000,19498.75,53988.16666666001,18734.516666659998,,,
1709767600000,18885.05,53808.81666666,18100.61666666,,,
1709767605000,19244.016666659998,54763.13333333,18392.3,,,
1709767610000,19262.45,53521.7,18570.96666666,,,
1709767615000,18417.16666666,53740.366666660004,17594.18333333,,,
1709767620000,17238.33333333,55066.0,16710.33333333,,,
1709767625000,17868.3,52161.96666666,17100.5,,,
1709767630000,17102.28333333,51910.8,16400.0,,,
1709767635000,16481.766666659998,53087.83333333,15768.033333329999,,,
1709767640000,16612.816666659997,51562.66666666001,15974.18333333,,,
1709767645000,16252.93333333,50039.266666660005,15626.55,,,
1709767650000,15966.266666659998,50010.43333333,15300.08333333,,,
1709767655000,15689.016666659998,51375.483333330005,14995.266666659998,,,
1709767660000,15910.06666666,48998.06666666,15145.216666659999,,,
1709767665000,14449.81666666,48381.616666660004,14046.766666659998,,,
1709767670000,14460.033333329999,49248.733333330005,13766.31666666,,,
1709767675000,15399.616666659998,46968.366666660004,14716.41666666,,,
1709767680000,15048.25,45501.78333333,14379.31666666,,,
1709767685000,14443.48333333,46938.88333333,13801.55,,,
1709767690000,14855.383333329999,44865.466666659995,14242.91666666,,,
1709767695000,15046.9,43787.55,14390.81666666,,,
1709767700000,14938.15,44597.05,14293.91666666,,,
1709767705000,14747.8,44217.3,14144.41666666,,,
1709767710000,14390.5,41323.0,13817.66666666,,,
1709767715000,13753.4,36873.85,13194.56666666,,,
1709767720000,12353.966666659999,33775.81666666,11854.616666659998,,,
1709767725000,11526.98333333,29417.15,10944.25,,,
1709767730000,10196.25,34781.11666666,9781.83333333,,,
1709767735000,8476.0,44915.66666666,8242.56666666,,,
1709767740000,7802.91666666,45149.35,7457.96666666,,,
1709767745000,6799.4,45655.6,6482.66666667,,,
1709767750000,6042.03333333,46828.9,5791.05,,,
1709767755000,5759.23333333,46673.78333333,5499.56666667,,,
1709767760000,5632.35,44370.36666666,5314.65,,,
1709767765000,5114.2,43640.43333333,4838.2,,,
1709767770000,5074.28333333,44392.716666659995,4846.45,,,
1709767775000,5639.65,47078.55,5402.91666667,,,
1709767780000,7167.183333329999,49433.18333333,6857.1,,,
1709767785000,8321.25,52706.28333333,7963.95,,,
1709767790000,9832.633333329999,46701.5,9420.46666666,,,
1709767795000,11218.4,36824.31666666,10641.36666666,,,
1709767800000,12449.81666666,36189.9,11902.4,,,
1709767805000,13714.716666659999,33842.4,13150.716666659999,,,
1709767810000,14565.516666659998,33397.95,14036.66666666,,,
1709767815000,15245.516666659998,35417.56666666,14691.1,,,
1709767820000,16521.25,38732.13333333,15865.4,,,
1709767825000,17861.066666659997,41252.2,17151.733333329998,,,
1709767830000,18613.61666666,43888.03333333,17858.63333333,,,
1709767835000,18946.33333333,,18163.13333333,,,
1709767840000,,,,,,
1709767885000,0.0,0.0,0.0,0.0,,
1709767890000,0.0,0.0,0.0,0.0,,
1709767895000,23.25,73.4333333333,22.283333333333,21.133333333333,,
1709767900000,23.25,710.4333333333,110.9166666666,107.5,,
1709767905000,131.1333333333,1981.2833333333,217.9833333333,211.85,,
1709767910000,351.6833333333,4035.85,437.1166666666,424.4833333333,,
1709767915000,585.1166666666,7632.91666666,656.9666666666,639.45,,
1709767920000,1530.2666666666,11913.28333333,1606.5666666666,1558.85,,
1709767925000,2729.5166666666,16196.16666666,2537.3666666666,2537.8666666666,,
1709767930000,3682.95,20017.5,3660.38333333,3582.1,,
1709767935000,4828.55,24226.08333333,4799.08333333,4663.15,,
1709767940000,5678.86666667,28453.58333333,5762.7,5600.61666667,,
1709767945000,7432.31666666,33417.83333333,7258.11666666,7161.55,,
1709767950000,8844.53333333,38581.43333333,8713.51666666,8533.2,,
1709767955000,10234.25,43478.63333333,10168.45,9885.76666666,,
1709767960000,11192.1,46258.21666666,10862.61666666,10617.26666666,,
1709767965000,12896.96666666,51062.28333333,12719.66666666,12391.31666666,,
1709767970000,14667.78333333,54553.58333333,14293.88333333,14017.81666666,,
1709767975000,15607.68333333,54743.03333333,15431.45,15000.28333333,,
1709767980000,15740.76666666,55338.68333333,15427.75,15014.85,,
1709767985000,15703.0,55585.36666666,15714.53333333,15204.53333333,,
1709767990000,15796.43333333,56228.73333333,15570.48333333,15179.38333333,,
1709767995000,15592.63333333,57608.7,15490.41666666,15060.33333333,,
1709768000000,15760.5,57768.13333333,15532.91666666,15099.85,,
1709768005000,14949.1,56496.05,14980.5,14455.25,,
1709768010000,14867.73333333,56951.63333333,14741.26666666,14310.5,,
1709768015000,14389.43333333,57030.56666666,14297.11666666,13897.81666666,,
1709768020000,14384.63333333,57801.65,14352.51666666,13895.21666666,,
1709768025000,13855.3,55162.28333333,13682.81666666,13276.13333333,,
1709768030000,12918.61666666,55051.86666666,12954.36666666,12492.2,,
1709768035000,12680.1,56917.35,12597.93333333,12246.66666666,,
1709768040000,12780.31666666,55018.63333333,12734.71666666,12364.75,,
1709768045000,12666.65,56047.35,12582.88333333,12259.13333333,,
1709768050000,12670.06666666,56574.5,12644.06666666,12226.95,,
1709768055000,12698.88333333,54612.63333333,12597.01666666,12246.11666666,,
1709768060000,12812.28333333,55181.75,12618.28333333,12291.78333333,,
1709768065000,12903.66666666,56355.9,12794.73333333,12466.43333333,,
1709768070000,12666.56666666,54543.66666666,12477.53333333,12200.93333333,,
1709768075000,12698.13333333,55066.36666666,12596.85,12245.93333333,,
1709768080000,12849.81666666,55133.53333333,12758.63333333,12412.43333333,,
1709768085000,12528.43333333,55800.01666666,12411.31666666,12130.48333333,,
1709768090000,12678.95,55242.5,12604.9,12246.58333333,,
1709768095000,12678.75,54950.7,12596.91666666,12245.81666666,,
1709768100000,12600.45,54483.61666666,12543.6,12227.4,,
1709768105000,12678.46666666,52062.81666666,12596.21666666,12245.45,,
1709768110000,12674.9,52907.76666666,12609.55,12276.28333333,,
1709768115000,12435.1,53746.55,12340.8,12026.68333333,,
1709768120000,12179.18333333,51211.45,12107.65,11856.66666666,,
1709768125000,12725.53333333,51358.9,12558.11666666,12247.15,,
1709768130000,12644.85,52325.83333333,12752.18333333,12301.93333333,,
1709768135000,12511.85,49987.46666666,12452.23333333,12155.01666666,,
1709768140000,12615.283333329999,50145.18333333,12665.016666659998,12326.033333329999,,
1709768145000,12819.08333333,50192.866666660004,12771.15,12378.3,,
1709768150000,12648.45,48975.53333333,12445.01666666,12167.86666666,,
1709768155000,12467.8,47123.45,12387.26666666,12042.266666659998,,
1709768160000,11367.65,44613.233333330005,11357.9,11008.633333329999,,
1709768165000,10498.35,42772.51666666,10375.16666666,10175.08333333,,
1709768170000,10288.21666666,39901.28333333,10105.55,9832.9,,
1709768175000,9973.7,39394.95,10028.33333333,9749.65,,
1709768180000,10870.91666666,40115.43333333,10828.46666666,10415.5,,
1709768185000,11023.98333333,40332.43333333,10865.45,10585.56666666,,
1709768190000,12109.6,41010.93333333,11902.98333333,11630.766666659998,,
1709768195000,12623.7,42228.0,12504.866666659998,12107.716666659999,,
1709768200000,12234.65,42213.233333330005,11957.616666659998,11608.56666666,,
1709768205000,12704.18333333,42672.233333330005,12559.73333333,12254.66666666,,
1709768210000,12638.266666659998,43370.1,12642.6,12206.16666666,,
1709768215000,12300.866666659998,44779.966666659995,12207.866666659998,11866.23333333,,
1709768220000,14083.41666666,49591.81666666,13913.98333333,13533.883333329999,,
1709768225000,14886.516666659998,52680.6,14818.98333333,14316.91666666,,
1709768230000,14573.966666659999,53740.03333333,14754.45,14312.25,,
1709768235000,15718.25,55081.9,15420.383333329999,14960.16666666,,
1709768240000,15012.55,55863.18333333,14789.866666659998,14391.766666659998,,
1709768245000,13938.73333333,53929.016666660005,14121.58333333,13639.58333333,,
1709768250000,13285.91666666,53965.45,13290.633333329999,12860.58333333,,
1709768255000,12930.883333329999,54743.93333333,12833.18333333,12474.66666666,,
1709768260000,12908.15,52786.68333333,13120.68333333,12750.23333333,,
1709768265000,11992.16666666,52904.366666660004,11945.383333329999,11539.23333333,,
1709768270000,12751.93333333,53498.2,12697.56666666,12374.366666659998,,
1709768275000,13265.2,52137.75,13192.383333329999,12826.266666659998,,
1709768280000,11861.56666666,51582.16666666001,11761.43333333,11470.1,,
1709768285000,,49853.6,,,,
1709768290000,,,,,,
1709768335000,,0.0,0.0,0.0,0.0,
1709768340000,0.0,0.0,0.0,0.0,0.0,
1709768345000,0.0,45.9166666667,292.5333333333,45.6,40.5166666667,
1709768350000,0.0,186.0833333333,1331.8,187.9666666666,174.2,
1709768355000,188.8333333333,478.1166666666,2461.4333333332997,472.3166666666,444.1,
1709768360000,497.1,824.8333333333,5166.2,835.6,773.2666666666,
1709768365000,840.3666666666,1220.9333333333,7983.883333329999,1233.85,1148.6166666666,
1709768370000,1158.6,1617.15,12441.31666666,1635.3833333332998,1522.85,
1709768375000,1645.5833333332998,2386.1333333333,16465.233333329998,2410.0333333332997,2247.3833333333,
1709768380000,2312.6,2386.1333333333,16465.233333329998,2410.0333333332997,2247.3833333333,
