,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1708178855000,15986.68333333,16083.75,15976.216666659999,16002.0,,,
1708178860000,18483.016666659998,18603.45,18472.516666659998,18559.63333333,,,
1708178865000,18044.3,18382.46666666,18248.88333333,18319.88333333,,,
1708178870000,,,,,,,
1708178915000,,,,,0.0,,
1708178920000,0.0,0.0,0.0,0.0,0.0,,
1708178925000,0.0,0.0,0.0,0.0,1.366666666666,,
1708178930000,1.116666666666,1.033333333333,1.133333333333,1.183333333333,130.8833333333,,
1708178935000,1.116666666666,136.0166666666,133.0666666666,133.95,1227.75,,
1708178940000,1235.8,1326.6833333333,1190.75,1265.0166666666,2377.6,,
1708178945000,2481.3666666666,2474.2166666666,2398.6666666666,2432.0666666666,2618.7666666666,,
1708178950000,2481.3666666666,2726.8833333333,2640.45,2680.3166666666,3904.75,,
1708178955000,4000.76666667,4149.35,3873.76666667,4025.11666667,5263.71666667,,
1708178960000,5461.13333333,5478.68333333,5307.16666667,5386.71666667,5479.96666667,,
1708178965000,5461.13333333,5704.25,5525.63333333,5609.21666667,6508.816666670001,,
1708178970000,6638.816666670001,6813.91666666,6508.816666670001,6670.06666666,7783.71666666,,
1708178975000,8068.45,8140.9,7804.883333329999,7978.86666666,9626.06666666,,
1708178980000,9988.23333333,10018.66666666,9703.133333329999,9848.76666666,9846.73333333,,
1708178985000,9988.23333333,10249.23333333,9923.45,10056.33333333,11325.133333329999,,
1708178990000,11757.3,11905.5,11394.06666666,11604.25,12490.883333329999,,
1708178995000,13105.31666666,12994.98333333,12600.033333329999,12782.16666666,11633.866666659998,,
1708179000000,11870.633333329999,12060.31666666,11773.93333333,11890.966666659999,12304.4,,
1708179005000,12727.56666666,12930.56666666,12337.633333329999,12601.66666666,12942.4,,
