,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1737112760000,968.0,672.0,663.0,681.0,651.0,656.0,676.0,653.0
1737112765000,969.0,661.0,672.0,675.0,653.0,654.0,673.0,664.0
1737112770000,968.0,652.0,669.0,676.0,646.0,662.0,660.0,652.0
1737112775000,972.0,679.0,690.0,662.0,663.0,677.0,687.0,669.0
1737112780000,970.0,680.0,705.0,678.0,660.0,681.0,671.0,657.0
1737112785000,971.0,682.0,713.0,691.0,658.0,680.0,668.0,664.0
1737112790000,969.0,679.0,697.0,696.0,644.0,676.0,656.0,653.0
1737112795000,968.0,696.0,704.0,685.0,650.0,683.0,674.0,667.0
1737112800000,974.0,693.0,720.0,688.0,650.0,693.0,672.0,702.0
1737112805000,972.0,688.0,709.0,708.0,646.0,683.0,671.0,686.0
1737112810000,968.0,705.0,697.0,700.0,657.0,690.0,674.0,683.0
1737112815000,967.0,710.0,697.0,700.0,676.0,696.0,677.0,698.0
1737112820000,970.0,692.0,718.0,708.0,653.0,678.0,668.0,703.0
1737112825000,969.0,700.0,717.0,704.0,655.0,684.0,657.0,685.0
1737112830000,967.0,716.0,710.0,696.0,664.0,689.0,678.0,688.0
1737112835000,966.0,697.0,707.0,703.0,663.0,688.0,656.0,687.0
1737112840000,966.0,696.0,691.0,708.0,653.0,672.0,666.0,688.0
1737112845000,967.0,694.0,702.0,705.0,649.0,675.0,667.0,688.0
1737112850000,967.0,692.0,699.0,705.0,659.0,675.0,676.0,684.0
1737112855000,965.0,687.0,694.0,700.0,655.0,679.0,670.0,681.0
1737112860000,963.0,694.0,685.0,700.0,660.0,680.0,674.0,680.0
1737112865000,963.0,701.0,695.0,694.0,658.0,676.0,685.0,696.0
1737112870000,967.0,692.0,690.0,697.0,651.0,669.0,683.0,688.0
1737112875000,,,,,,,,
