Time,Parallelism,Throughput_OUT,Throughput_IN
1707263904,3.0,61554.8,61467.2
1707263909,3.0,61232.733333330005,61465.18333333
1707263914,3.0,61125.46666666,61554.766666660005
1707263919,3.0,61510.016666660005,61232.733333330005
1707263924,3.0,61646.25,61125.46666666
1707263929,3.0,61269.68333333,61510.0
1707263934,3.0,61081.21666666,61646.25
1707263939,3.0,61061.86666666,61269.7
1707263944,3.0,62411.75,61081.2
1707263949,3.0,62534.233333330005,61061.85
1707263954,3.0,61966.8,62411.733333330005
1707263959,3.0,62099.483333330005,62534.21666666
1707263964,1.0,20716.15,61966.81666666
1707264009,1.0,0.0,62099.46666666
1707264014,4.0,0.0,20716.15
1707264024,4.0,2357.9833333333,0.0
1707264029,4.0,7473.46666666,0.0
1707264034,4.0,12455.48333333,0.0
1707264039,4.0,18004.266666659998,2358.0333333333
1707264044,4.0,24018.133333330003,7473.46666666
1707264049,4.0,29015.78333333,12455.55
1707264054,4.0,33857.95,18004.316666659997
1707264059,4.0,38133.4,24018.16666666
1707264064,4.0,43382.88333333,29015.833333330003
1707264069,4.0,48509.266666660005,33857.95
1707264074,4.0,54450.03333333,38133.43333333
1707264079,4.0,60592.483333330005,43382.95
1707264084,4.0,64456.61666666,48509.31666666
1707264089,4.0,65553.15,54450.1
1707264094,4.0,67136.61666666,60592.5
1707264099,4.0,68095.53333333001,64456.61666666
1707264104,4.0,68501.03333333001,65553.18333333
1707264109,4.0,69629.46666666001,67136.56666666
1707264114,4.0,70414.18333333,68095.53333333001
1707264119,4.0,72220.23333333,68501.0
1707264124,4.0,73619.48333333,69629.46666666001
1707264129,4.0,74992.8,70414.2
1707264134,4.0,75654.4,72220.26666666
1707264139,4.0,76143.13333333,73619.43333333
1707264144,4.0,76598.83333333,74992.78333333001
1707264149,4.0,76958.51666666,75654.36666666
1707264154,4.0,76316.21666666001,76143.16666666
1707264159,4.0,74390.05,76598.86666666
1707264164,4.0,74145.76666666,76958.51666666
1707264169,4.0,73833.98333333,76316.21666666001
1707264174,4.0,74481.6,74390.03333333001
1707264179,4.0,74648.7,74145.83333333
1707264184,4.0,74514.56666666,73833.95
1707264189,4.0,74682.15,74481.6
1707264194,4.0,74791.06666666,74648.68333333
1707264199,4.0,74866.6,74514.6
1707264204,4.0,74728.46666666001,74682.15
1707264209,4.0,73730.23333333,74791.11666666
1707264214,4.0,74535.1,74866.61666666
1707264219,4.0,76626.4,74728.38333333
1707264224,4.0,77033.05,73730.23333333
1707264229,4.0,77525.76666666,74535.13333333
1707264234,4.0,78019.95,76626.4
1707264239,4.0,78429.36666666,77033.0
1707264244,4.0,78405.15,77525.8
1707264249,4.0,78525.31666666,78019.95
1707264254,4.0,78321.43333333,78429.35
1707264259,4.0,77549.53333333001,78405.16666666
1707264264,4.0,77708.26666666,78525.33333333
1707264269,4.0,78666.43333333,78321.36666666
1707264274,4.0,78257.4,77549.51666666
1707264279,4.0,77307.68333333,77708.3
1707264284,4.0,77473.03333333001,78666.43333333
1707264289,4.0,77825.31666666,78257.35
1707264294,4.0,77704.43333333,77307.65
1707264299,4.0,77534.88333333,77473.05
1707264304,4.0,75500.81666666,77825.31666666
1707264309,4.0,0.0,77704.46666666001
1707264314,4.0,0.0,77534.85
1707264319,3.0,0.0,75500.81666666
1707264324,4.0,0.0,0.0
1707264329,1.0,1915.4833333333,0.0
1707264374,2.0,0.0,0.0
1707264379,5.0,0.0,0.0
1707264384,5.0,640.05,1915.5
1707264394,5.0,8932.5,0.0
1707264399,5.0,14648.43333333,0.0
1707264404,5.0,21681.1,640.05
1707264409,5.0,28751.66666666,3759.55
1707264414,5.0,35533.25,8932.61666666
1707264419,5.0,41690.58333333,14648.51666666
1707264424,5.0,47217.98333333,21681.15
1707264429,5.0,54078.6,28751.78333333
1707264434,5.0,61472.91666666,35533.3
1707264439,5.0,69477.83333333,41690.68333333
1707264444,5.0,77008.45,47218.1
1707264449,5.0,81819.78333333,54078.66666666
1707264454,5.0,84420.65,61473.0
1707264459,5.0,86934.7,69477.93333333
1707264464,5.0,88194.83333333,77008.53333333
1707264469,5.0,89447.38333333,81819.78333333
1707264474,5.0,90787.3,84420.63333333
1707264479,5.0,90796.51666666,86934.7
1707264484,5.0,91093.1,88194.85
1707264489,5.0,92516.9,89447.36666666
1707264494,5.0,93377.0,90787.33333333
1707264499,5.0,93749.03333333,90796.46666666
1707264504,5.0,93855.93333333,91093.03333333
1707264509,5.0,94287.68333333,92516.93333333
1707264514,5.0,94922.76666666,93376.98333333
1707264519,5.0,94921.2,93748.98333333
1707264524,5.0,94666.65,93855.93333333
1707264529,5.0,94300.9,94287.66666666
1707264534,5.0,93943.41666666,94922.71666666
1707264539,5.0,96256.4,94921.16666666
1707264544,5.0,98753.03333333,94666.66666666
1707264549,5.0,98203.51666666,94300.86666666
1707264554,5.0,97393.51666666,93943.45
1707264559,5.0,97438.7,96256.41666666
1707264564,5.0,97526.53333333,98753.06666666
1707264569,5.0,97217.4,98203.48333333
1707264574,5.0,96661.56666666,97393.53333333
1707264579,5.0,96842.9,97438.7
1707264584,5.0,97241.86666666,97526.53333333
1707264589,5.0,97586.85,97217.4
1707264594,5.0,98375.2,96661.63333333
1707264599,5.0,98485.41666666,96842.91666666
