,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4
Timestamp,,,,,
1706110945000,1000.0,719.0,735.0,689.0,
1706110950000,1000.0,717.0,734.0,685.0,
1706110955000,1000.0,715.0,726.0,681.0,
1706110960000,1000.0,714.0,720.0,679.0,
1706110965000,1000.0,710.0,713.0,679.0,
1706110970000,1000.0,720.0,720.0,686.0,
1706110975000,1000.0,716.0,712.0,683.0,
1706110980000,1000.0,716.0,715.0,688.0,
1706110985000,,,,,
1706111030000,,,1000.0,1000.0,1000.0
1706111035000,1000.0,1000.0,637.0,584.0,586.0
1706111040000,802.0,626.0,464.0,416.0,419.0
1706111045000,704.0,427.0,457.0,428.0,433.0
1706111050000,803.0,421.0,493.0,483.0,462.0
1706111055000,852.0,487.0,446.0,427.0,448.0
1706111060000,882.0,436.0,464.0,445.0,461.0
1706111065000,891.0,465.0,472.0,454.0,468.0
1706111070000,878.0,481.0,489.0,465.0,479.0
1706111075000,883.0,506.0,476.0,454.0,468.0
1706111080000,851.0,488.0,441.0,424.0,440.0
1706111085000,785.0,470.0,444.0,431.0,441.0
1706111090000,795.0,476.0,456.0,441.0,448.0
1706111095000,802.0,481.0,447.0,441.0,440.0
1706111100000,817.0,476.0,471.0,463.0,465.0
1706111105000,838.0,505.0,483.0,472.0,476.0
1706111110000,838.0,523.0,475.0,452.0,471.0
1706111115000,828.0,504.0,507.0,482.0,488.0
1706111120000,821.0,536.0,509.0,484.0,494.0
1706111125000,819.0,532.0,512.0,485.0,498.0
1706111130000,825.0,538.0,516.0,494.0,514.0
1706111135000,823.0,535.0,540.0,505.0,533.0
1706111140000,848.0,558.0,574.0,537.0,565.0
1706111145000,908.0,580.0,585.0,549.0,584.0
1706111150000,908.0,594.0,591.0,559.0,591.0
1706111155000,908.0,601.0,611.0,559.0,605.0
1706111160000,908.0,607.0,628.0,576.0,627.0
1706111165000,916.0,621.0,630.0,575.0,623.0
1706111170000,901.0,613.0,639.0,592.0,638.0
1706111175000,908.0,626.0,642.0,595.0,644.0
1706111180000,904.0,624.0,646.0,594.0,648.0
1706111185000,912.0,623.0,654.0,606.0,660.0
1706111190000,921.0,624.0,650.0,597.0,654.0
1706111195000,907.0,621.0,638.0,598.0,657.0
1706111200000,897.0,621.0,648.0,609.0,667.0
1706111205000,905.0,628.0,650.0,603.0,666.0
1706111210000,904.0,625.0,652.0,599.0,671.0
1706111215000,912.0,631.0,639.0,598.0,675.0
1706111220000,907.0,631.0,630.0,587.0,657.0
1706111225000,910.0,631.0,642.0,599.0,670.0
1706111230000,925.0,645.0,641.0,591.0,666.0
1706111235000,915.0,646.0,644.0,593.0,663.0
1706111240000,926.0,655.0,646.0,592.0,652.0
1706111245000,921.0,662.0,653.0,589.0,655.0
1706111250000,922.0,669.0,651.0,590.0,644.0
1706111255000,940.0,670.0,661.0,594.0,644.0
1706111260000,951.0,675.0,664.0,589.0,641.0
1706111265000,947.0,673.0,666.0,590.0,636.0
1706111270000,950.0,675.0,662.0,589.0,638.0
1706111275000,948.0,675.0,656.0,586.0,627.0
1706111280000,953.0,669.0,655.0,591.0,630.0
1706111285000,950.0,657.0,641.0,583.0,619.0
1706111290000,945.0,654.0,647.0,597.0,623.0
1706111295000,958.0,662.0,633.0,594.0,613.0
1706111300000,950.0,649.0,620.0,,615.0
