,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4,5
Timestamp,,,,,,
1703155360000,639.0,370.0,427.0,417.0,363.0,387.0
1703155365000,679.0,393.0,412.0,448.0,386.0,413.0
1703155370000,724.0,414.0,429.0,469.0,404.0,434.0
1703155375000,735.0,424.0,430.0,476.0,418.0,443.0
1703155380000,735.0,417.0,434.0,479.0,418.0,439.0
1703155385000,719.0,410.0,424.0,478.0,418.0,435.0
1703155390000,725.0,418.0,428.0,487.0,428.0,448.0
1703155395000,714.0,422.0,436.0,494.0,430.0,458.0
1703155400000,709.0,421.0,433.0,493.0,430.0,459.0
1703155405000,710.0,426.0,438.0,498.0,432.0,454.0
1703155410000,724.0,448.0,456.0,514.0,453.0,475.0
1703155415000,731.0,462.0,470.0,528.0,468.0,481.0
1703155420000,746.0,473.0,480.0,541.0,489.0,497.0
1703155425000,765.0,477.0,487.0,545.0,503.0,504.0
1703155430000,783.0,487.0,509.0,559.0,525.0,515.0
1703155435000,800.0,491.0,519.0,569.0,537.0,522.0
1703155440000,809.0,491.0,520.0,561.0,547.0,530.0
1703155445000,826.0,502.0,542.0,568.0,558.0,536.0
1703155450000,842.0,510.0,551.0,573.0,574.0,546.0
1703155455000,860.0,512.0,548.0,573.0,587.0,551.0
1703155460000,876.0,513.0,555.0,579.0,593.0,549.0
1703155465000,888.0,516.0,553.0,584.0,601.0,557.0
1703155470000,886.0,501.0,542.0,575.0,592.0,543.0
1703155475000,891.0,496.0,537.0,570.0,588.0,539.0
1703155480000,891.0,495.0,538.0,571.0,593.0,533.0
1703155485000,902.0,498.0,543.0,576.0,592.0,534.0
1703155490000,896.0,495.0,530.0,574.0,588.0,541.0
1703155495000,897.0,496.0,529.0,575.0,585.0,539.0
1703155500000,904.0,507.0,536.0,591.0,596.0,547.0
1703155505000,914.0,515.0,534.0,600.0,605.0,554.0
1703155510000,915.0,510.0,527.0,601.0,602.0,559.0
1703155515000,913.0,513.0,534.0,604.0,597.0,570.0
1703155520000,871.0,498.0,508.0,577.0,579.0,558.0
1703155525000,851.0,492.0,501.0,560.0,563.0,545.0
1703155530000,853.0,493.0,499.0,569.0,561.0,543.0
1703155535000,848.0,497.0,497.0,570.0,565.0,550.0
1703155540000,846.0,499.0,501.0,571.0,556.0,551.0
