,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6
Timestamp,,,,,,,
1702975505000,20349.6,20337.88333333,20331.41666666,,,,
1702975510000,20302.566666659997,20280.58333333,20238.5,,,,
1702975515000,20278.8,20292.3,20284.6,,,,
1702975520000,20295.61666666,20279.483333329998,20265.88333333,,,,
1702975525000,20411.71666666,20293.5,20291.8,,,,
1702975530000,20382.1,20390.566666659997,20402.0,,,,
1702975535000,20378.08333333,20380.66666666,20382.66666666,,,,
1702975540000,20403.58333333,20395.816666659997,20379.233333329998,,,,
1702975545000,20385.78333333,20407.41666666,20415.68333333,,,,
1702975550000,20378.46666666,20386.5,20375.46666666,,,,
1702975555000,20296.483333329998,20386.53333333,20384.566666659997,,,,
1702975560000,20275.86666666,20300.08333333,20292.53333333,,,,
1702975565000,20297.78333333,20284.233333329998,20283.816666659997,,,,
1702975570000,20327.58333333,20341.566666659997,20393.5,,,,
1702975575000,20357.88333333,20338.85,20353.45,,,,
1702975580000,20359.266666659998,20348.45,20354.18333333,,,,
1702975585000,20367.36666666,20339.83333333,20241.41666666,,,,
1702975590000,20338.233333329998,20379.63333333,20359.08333333,,,,
1702975595000,20329.25,20334.38333333,20334.65,,,,
1702975600000,20275.71666666,20327.816666659997,20339.516666659998,,,,
1702975605000,20246.61666666,20288.66666666,20286.86666666,,,,
1702975610000,20248.85,20258.4,20262.41666666,,,,
1702975615000,20322.68333333,20249.68333333,20246.28333333,,,,
1702975620000,20309.4,20318.983333329998,20334.233333329998,,,,
1702975625000,20323.483333329998,20315.43333333,20327.066666659997,,,,
1702975630000,20323.65,20338.7,20343.85,,,,
1702975635000,20340.83333333,20334.96666666,20326.6,,,,
1702975640000,20346.55,20340.36666666,20345.68333333,,,,
1702975645000,20360.55,20365.2,20472.46666666,,,,
1702975650000,20401.483333329998,20344.95,20375.566666659997,,,,
1702975655000,20369.38333333,20411.35,20366.33333333,,,,
1702975660000,20459.233333329998,20355.2,20352.11666666,,,,
1702975665000,20506.983333329998,20430.88333333,20431.733333329998,,,,
1702975670000,20544.35,20518.483333329998,20517.566666659997,,,,
1702975675000,20552.16666666,20526.93333333,20537.46666666,,,,
1702975680000,20515.13333333,20571.7,20544.316666659997,,,,
1702975685000,,20498.066666659997,,,,,
1702975690000,,,,,,,
1702975730000,0.0,,0.0,0.0,,,
1702975735000,0.0,0.0,27.95,0.0,,,
