,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2,Timestamps_Watermarks____Map,TumblingEventTimeWindows____Timestamps_Watermarks,Sink:_Sink,Source:_Source1,Source:_Source2
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timestamp,,,,,,,,,,,,,,,
1736535615000,7.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,9.0,131.0,256.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535620000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,65682000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535625000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,64.0,125.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535630000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,28548000.0,180.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535635000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,6.0,428.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535640000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,0.0,100.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535645000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,3519000.0,100.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535650000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,100.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535655000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,5.0,1071.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535660000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,71.0,251.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535665000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2520000.0,251.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535670000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,6.0,3.0,513.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535675000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,276.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535680000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,3.0,303.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535685000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,8145000.0,134.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535690000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,18774000.0,134.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535695000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,7.0,139.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535700000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,11.0,335.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535705000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,28296000.0,318.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535710000,1.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,10.0,10.0,223.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535715000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,9.0,133.0,360.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535720000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,108369000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535725000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,0.0,117.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535730000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,64.0,502.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535735000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,43083000.0,139.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535740000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,3492000.0,139.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535745000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2871000.0,402.0,1.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535750000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,402.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535755000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,402.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535760000,,,,,,,,,,,,,,,
1736535855000,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,109.0,59598000.0,14711000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535860000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,509.0,388.0,5.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535865000,0.0,9.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,862.0,9862000.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535870000,10.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,10.0,133090000.0,1021.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535875000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,146340000.0,110.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535880000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,398.0,4006351.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535885000,5.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,4.0,69.0,223.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535890000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,146340000.0,118.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535895000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,71.0,963.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535900000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,59652000.0,223.0,1.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535905000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,4851000.0,223.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535910000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,223.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535915000,4.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,9.0,11.0,201.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535920000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,10260000.0,287.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535925000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,287.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535930000,9.0,18.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,4.0,236.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535935000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,9828000.0,251.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535940000,9.0,19.0,1.0,0.0,0.0,9.0,2.0,0.0,9.0,9.0,2304000.0,251.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535945000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,9.0,2.0,201.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535950000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535955000,10.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,9.0,180.0,402.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535960000,1.0,15.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,2.0,201.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535965000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,2.0,335.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535970000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,9045000.0,118.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535975000,2.0,16.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,2.0,143.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535980000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2439000.0,118.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535985000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,10.0,9.0,2304000.0,7862.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535990000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,9.0,154.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736535995000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,154.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536000000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,0.0,335.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536005000,9.0,20.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,8037000.0,126.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536010000,9.0,20.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,126.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536015000,9.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,2304000.0,3372.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536020000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,8019000.0,139.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536025000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,15282000.0,125.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536030000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,2304000.0,125.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536035000,,,,,,,,,,,,,,,
1736536130000,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,212.0,59598000.0,14711000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536135000,9.0,19.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,9.0,1740.0,573.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536140000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21956000.0,2.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536145000,9.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,8.0,452.0,110.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536150000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,65682000.0,66.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536155000,6.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,3.0,98.0,143.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536160000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,36009000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536165000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2907000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536170000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,134.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536175000,10.0,19.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,9.0,6.0,225.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536180000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,24876000.0,143.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536185000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,143.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536190000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,2304000.0,143.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536195000,9.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,9.0,9.0,8.0,335.0,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736536200000,9.0,19.0,1.0,0.0,0.0,10.0,1.0,0.0,9.0,9.0,5877000.0,182.0,0.0,-9.223372036854775e+18,-9.223372036854775e+18
