,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,0,1,2,3,4,5,6,7,8
Timestamp,,,,,,,,,
1701853115000,12509.95,12528.783333329999,12297.65,12340.1,11903.85,,,,
1701853120000,12607.766666659998,12747.55,12422.35,12408.33333333,11887.43333333,,,,
1701853125000,12448.66666666,12697.75,12486.85,12566.3,12144.0,,,,
1701853130000,12494.5,12675.85,12597.283333329999,12491.98333333,12075.06666666,,,,
1701853135000,12534.73333333,12492.283333329999,12274.616666659998,12677.783333329999,12228.6,,,,
1701853140000,12400.783333329999,12645.73333333,12442.05,12552.91666666,12135.283333329999,,,,
1701853145000,12668.2,12798.56666666,12572.866666659998,12502.73333333,12072.18333333,,,,
1701853150000,12735.466666659999,13004.3,12697.35,12611.466666659999,12188.41666666,,,,
1701853155000,12829.9,12830.266666659998,12552.18333333,12815.866666659998,12381.7,,,,
1701853160000,12425.6,12568.283333329999,12090.65,12620.633333329999,12195.533333329999,,,,
1701853165000,12361.016666659998,12739.45,12473.33333333,12398.81666666,11981.966666659999,,,,
1701853170000,12641.48333333,12682.2,12458.366666659998,12553.48333333,12125.766666659998,,,,
1701853175000,12749.466666659999,12842.85,12565.56666666,12636.883333329999,12106.43333333,,,,
1701853180000,12831.06666666,12799.8,12615.3,12536.85,12232.516666659998,,,,
1701853185000,12839.81666666,12795.533333329999,12533.06666666,12614.9,12190.48333333,,,,
1701853190000,12740.883333329999,13010.633333329999,12613.266666659998,12810.5,12355.08333333,,,,
1701853195000,12831.18333333,13235.366666659998,12967.216666659999,12704.68333333,12264.216666659999,,,,
1701853200000,12865.95,13113.18333333,12851.31666666,12799.48333333,12369.216666659999,,,,
1701853205000,12683.65,12890.23333333,12628.633333329999,12821.366666659998,12405.016666659998,,,,
1701853210000,12732.98333333,12779.383333329999,12571.116666659998,12763.533333329999,12362.633333329999,,,,
1701853215000,12510.56666666,12807.81666666,12594.3,12597.133333329999,12177.8,,,,
1701853220000,12574.266666659998,12720.283333329999,12693.83333333,12655.716666659999,12234.266666659998,,,,
1701853225000,12599.66666666,12751.7,12328.25,12527.866666659998,12106.41666666,,,,
1701853230000,12338.41666666,12720.16666666,12466.25,12569.216666659999,12146.7,,,,
1701853235000,12268.216666659999,12634.75,12229.66666666,12408.73333333,12116.716666659999,,,,
1701853240000,12242.266666659998,12568.1,12314.06666666,12454.56666666,12041.883333329999,,,,
1701853245000,12578.18333333,12713.06666666,12392.216666659999,12385.83333333,11971.266666659998,,,,
1701853250000,12456.23333333,12486.7,12199.216666659999,12334.56666666,11943.0,,,,
1701853255000,12213.23333333,12356.116666659998,12110.45,12282.766666659998,11890.65,,,,
