Time,Parallelism,Throughput_OUT,Throughput_IN
1708175509,1.0,0.0,45767.33333333
1708175514,1.0,0.0,45380.63333333
1708175519,1.0,0.0,46185.53333332999
1708175524,1.0,0.0,52185.8
1708175529,1.0,0.0,51399.65
1708175534,1.0,0.0,50897.43333333
1708175539,1.0,0.0,0.0
1708175544,1.0,0.0,0.0
1708175549,1.0,0.0,0.0
1708175554,1.0,0.0,0.0
1708175559,1.0,0.0,168.8833333333
1708175614,2.0,0.0,0.0
1708175619,2.0,0.0,1.816666666666
1708175624,2.0,0.0,1298.9666666666
1708175629,2.0,0.0,5146.58333333
1708175634,2.0,0.0,10802.95
1708175639,2.0,0.0,19419.06666666
1708175644,2.0,0.0,27034.25
1708175649,2.0,0.0,31762.0
1708175654,2.0,0.0,37217.36666666
1708175659,2.0,0.0,45612.65
1708175664,2.0,0.0,55109.71666666
1708175669,2.0,0.0,62865.21666666
1708175674,2.0,279.4166666666,68257.7
1708175679,2.0,556.2666666666,70703.31666665999
1708175684,2.0,556.2666666666,73392.45
1708175689,2.0,556.2666666666,76465.18333333
1708175694,2.0,556.2666666666,79669.36666665999
1708175699,2.0,556.2666666666,80135.98333332999
1708175704,2.0,970.4666666666,81450.55
1708175709,2.0,1383.4833333333,81874.05
1708175714,2.0,1383.4833333333,81245.78333333
1708175719,2.0,1383.4833333333,81410.65
1708175724,2.0,1383.4833333333,81294.3
1708175729,2.0,1383.4833333333,82557.1
1708175734,2.0,1856.5666666666,84736.63333333
1708175739,2.0,4406.33333333,88985.71666666
1708175744,2.0,6754.86666666,90085.8
1708175749,2.0,7624.733333329999,85807.33333333
1708175754,2.0,7624.733333329999,81846.88333333
1708175759,2.0,7624.733333329999,81439.78333333
1708175764,2.0,7210.53333333,82621.11666665999
1708175769,2.0,6887.86666666,87867.45
1708175774,2.0,6975.6,89968.63333333
1708175779,2.0,6979.25,86037.8
1708175784,2.0,6979.25,83794.51666666
1708175789,2.0,6979.25,84621.65
1708175794,2.0,6226.75,86139.25
1708175799,2.0,3585.28333333,88273.63333333
1708175804,2.0,1418.8333333333,89838.73333332999
1708175809,2.0,548.9666666666,91704.95
1708175814,2.0,548.9666666666,94163.01666666
1708175819,2.0,548.9666666666,93324.68333333
1708175824,2.0,548.9666666666,91934.63333333
1708175829,2.0,458.6166666666,92474.15
1708175834,2.0,3200.5333333333,95929.6
1708175839,2.0,7841.08333333,97828.13333333
1708175844,2.0,10011.73333333,92106.8
1708175849,2.0,10011.73333333,86122.16666665999
1708175854,2.0,10011.73333333,83984.48333332999
1708175859,2.0,9826.58333333,83076.21666666
1708175864,2.0,9644.5,84690.91666665999
1708175869,2.0,9644.5,85936.01666666
1708175874,2.0,9644.5,84257.75
1708175879,2.0,9644.5,85708.7
1708175884,2.0,9644.5,86951.5
1708175889,2.0,9644.5,84788.61666665999
1708175894,2.0,7021.33333333,84441.45
1708175899,2.0,2580.2833333333,84904.75
1708175904,2.0,409.6333333333,87364.81666665999
1708175909,2.0,409.6333333333,91517.31666666
1708175914,2.0,409.6333333333,92404.43333333
1708175919,2.0,409.6333333333,92276.41666666
1708175924,2.0,409.6333333333,94599.96666666
1708175929,2.0,409.6333333333,95739.23333333
1708175934,2.0,409.6333333333,96416.18333333
1708175939,2.0,409.6333333333,96848.35
1708175944,2.0,409.6333333333,96687.05
1708175949,2.0,409.6333333333,96777.13333333
1708175954,2.0,203.15,96799.46666666
1708175959,2.0,2425.9666666666,100603.41666666
1708175964,2.0,6251.3,102535.83333333
1708175969,2.0,9073.13333333,96025.55
1708175974,2.0,9073.13333333,89114.36666665999
1708175979,2.0,9073.13333333,86937.68333333
1708175984,2.0,9073.13333333,85905.08333333
1708175989,2.0,9073.13333333,89190.81666665999
1708175994,2.0,9073.13333333,91098.58333333
1708175999,2.0,9073.13333333,87756.53333333
1708176004,2.0,9073.13333333,87286.6
1708176009,1.0,4526.63333333,87172.65
1708176059,3.0,0.0,43492.85
1708176069,3.0,0.0,0.0
1708176074,3.0,0.0,0.0
1708176079,3.0,0.0,2.833333333333
1708176084,3.0,0.0,959.9833333333
1708176089,3.0,0.0,4208.3
1708176094,3.0,0.0,10817.58333333
1708176099,3.0,0.0,18762.6
1708176104,3.0,0.0,29574.96666666
1708176109,3.0,0.0,40492.16666666
1708176114,3.0,0.0,52148.08333333
1708176119,3.0,0.0,61665.18333333
1708176124,3.0,0.0,65882.6
1708176129,3.0,0.0,71623.9
1708176134,3.0,0.0,80093.73333332999
1708176139,3.0,0.0,88746.0
1708176144,3.0,0.0,100723.65
1708176149,3.0,1118.7,110223.56666666
1708176154,3.0,1118.7,116712.11666666
1708176159,3.0,1118.7,111525.0
1708176164,3.0,1118.7,108854.13333333
