Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 0)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
495,69888.53333333001,70129.41666666,955.0,517.0,325.0,,,2
500,72043.91666666,72047.7,951.0,531.0,313.0,,,2
505,73200.11666666,73185.0,948.0,534.0,311.0,,,2
510,75452.38333333,75602.93333333,945.0,548.0,307.0,,,2
515,76256.46666666001,76328.48333333,936.0,552.0,301.0,,,2
520,77146.3,77121.65,936.0,557.0,299.0,,,2
525,77830.23333333,77889.36666666,933.0,558.0,290.0,,,2
530,79047.58333333,79054.9,932.0,566.0,287.0,,,2
535,79604.58333333,79548.38333333,931.0,569.0,283.0,,,2
540,79475.83333333,79515.01666666,928.0,570.0,274.0,,,2
545,79846.76666666,79790.28333333001,928.0,572.0,273.0,,,2
550,80158.65,80192.71666666001,929.0,574.0,275.0,,,2
555,80756.71666666001,80739.03333333001,931.0,576.0,280.0,,,2
560,80827.28333333001,80876.85,931.0,576.0,276.0,,,2
565,80984.51666666,81057.56666666,930.0,578.0,279.0,,,2
570,81075.51666666,81124.05,929.0,578.0,279.0,,,2
575,81987.5,81913.23333333,936.0,585.0,277.0,,,2
580,82101.96666666001,82230.21666666001,936.0,586.0,280.0,,,2
585,82534.61666666,82509.9,936.0,588.0,285.0,,,2
590,82774.95,82869.95,936.0,590.0,289.0,,,2
595,83095.98333333,83090.45,934.0,595.0,295.0,,,2
600,83522.71666666001,83492.46666666001,935.0,598.0,304.0,,,2
605,83387.21666666001,83455.23333333,938.0,596.0,313.0,,,2
610,83079.36666666,83073.1,936.0,593.0,315.0,,,2
615,82849.91666666,82866.13333333,934.0,592.0,311.0,,,2
620,83025.16666666,83042.66666666,933.0,594.0,309.0,,,2
625,83218.98333333,83159.5,933.0,594.0,304.0,,,2
630,83240.66666666,83128.95,934.0,593.0,307.0,,,2
635,82682.28333333001,82721.68333333,928.0,591.0,309.0,,,2
640,82792.23333333,82773.01666666,927.0,591.0,305.0,,,2
645,82975.35,83105.56666666,926.0,595.0,304.0,,,2
650,83118.7,83126.1,925.0,595.0,302.0,,,2
655,83382.2,83499.08333333,926.0,594.0,301.0,,,2
660,83755.86666666,83750.56666666,925.0,596.0,298.0,,,2
665,84079.76666666,84003.73333333,925.0,597.0,291.0,,,2
670,84762.86666666,84746.3,923.0,603.0,288.0,,,2
675,85301.16666666,85303.03333333001,924.0,605.0,287.0,,,2
680,85537.68333333,85538.1,924.0,607.0,294.0,,,2
685,85769.93333333,85847.11666666,924.0,610.0,292.0,,,2
690,85965.31666666,85968.03333333001,923.0,613.0,288.0,,,2
695,86426.81666666,86470.5,928.0,617.0,283.0,,,2
700,86417.95,86421.91666666,926.0,616.0,285.0,,,2
705,86012.21666666001,86001.8,927.0,615.0,284.0,,,2
710,85885.71666666001,85839.06666666,927.0,613.0,282.0,,,2
715,85203.06666666,85184.46666666001,927.0,609.0,280.0,,,2
720,84662.56666666,84745.13333333,927.0,606.0,284.0,,,2
725,84134.93333333,84187.58333333,928.0,602.0,288.0,,,2
730,83431.95,83398.53333333001,931.0,597.0,293.0,,,2
735,82992.53333333001,82901.4,931.0,596.0,295.0,,,2
740,82386.68333333,82377.18333333,934.0,593.0,297.0,,,2
745,81828.16666666,81696.98333333,937.0,589.0,306.0,,,2
750,81220.95,81281.66666666,939.0,585.0,312.0,,,2
755,81151.03333333001,81065.25,941.0,582.0,318.0,,,2
760,79689.26666666,79688.78333333001,926.0,572.0,312.0,,,2
765,80213.73333333,80133.81666666,924.0,573.0,312.0,,,2
770,80243.86666666,80282.03333333001,926.0,573.0,316.0,,,2
775,80501.18333333,80444.75,926.0,574.0,321.0,,,2
780,80770.58333333,80752.81666666,927.0,579.0,319.0,,,2
785,81023.68333333,80745.78333333001,926.0,580.0,317.0,,,2
790,79386.05,79436.26666666,905.0,567.0,313.0,,,2
795,79639.23333333,79717.7,904.0,567.0,308.0,,,2
800,79942.25,79929.46666666001,902.0,568.0,300.0,,,2
805,80282.23333333,80307.56666666,898.0,571.0,293.0,,,2
810,80507.95,80567.35,899.0,572.0,294.0,,,2
815,80791.86666666,80863.45,899.0,574.0,292.0,,,2
1707939608,,,,,,-1.0,-1.0,0
1707939613,,,,,,-1.0,-1.0,0
1707939618,,,,,,-1.0,-1.0,0
1707939623,,,,,,1381.0,823.0,0
1707939628,,,,,,1381.0,823.0,0
1707939633,,,,,,1381.0,14.0,0
1707939638,,,,,,1381.0,14.0,0
1707939643,,,,,,1381.0,107.0,0
1707939648,,,,,,1381.0,107.0,0
1707939653,,,,,,1381.0,124.0,0
1707939658,,,,,,1381.0,124.0,0
1707939663,,,,,,1381.0,112.0,0
1707939668,,,,,,1381.0,112.0,0
1707939673,,,,,,1381.0,98.0,0
1707939678,,,,,,1381.0,98.0,0
1707939683,,,,,,1381.0,101.0,0
1707939688,,,,,,1381.0,101.0,0
1707939693,,,,,,1381.0,100.0,0
1707939698,,,,,,1381.0,100.0,0
1707939703,,,,,,1381.0,96.0,0
1707939708,,,,,,1381.0,96.0,0
1707939713,,,,,,1381.0,23.0,0
1707939718,,,,,,1381.0,23.0,0
1707939723,,,,,,1381.0,99.0,0
1707939728,,,,,,1381.0,99.0,0
1707939733,,,,,,1381.0,102.0,0
1707939738,,,,,,1381.0,102.0,0
1707939743,,,,,,1381.0,107.0,0
1707939748,,,,,,1381.0,107.0,0
1707939753,,,,,,1381.0,107.0,0
1707939758,,,,,,1381.0,107.0,0
1707939763,,,,,,1381.0,95.0,0
1707939768,,,,,,1381.0,95.0,0
1707939773,,,,,,1381.0,103.0,0
1707939778,,,,,,1381.0,103.0,0
1707939783,,,,,,1381.0,102.0,0
1707939788,,,,,,1381.0,102.0,0
1707939793,,,,,,1381.0,99.0,0
1707939798,,,,,,1381.0,99.0,0
1707939803,,,,,,1381.0,110.0,0
1707939808,,,,,,1381.0,110.0,0
1707939813,,,,,,1381.0,57.0,0
1707939818,,,,,,1381.0,57.0,0
1707939823,,,,,,1381.0,93.0,0
1707939828,,,,,,1381.0,93.0,0
1707939833,,,,,,1381.0,94.0,0
1707939838,,,,,,1381.0,94.0,0
1707939843,,,,,,1381.0,59.0,0
1707939848,,,,,,1381.0,59.0,0
1707939853,,,,,,1381.0,93.0,0
1707939858,,,,,,1381.0,93.0,0
1707939863,,,,,,1381.0,94.0,0
1707939868,,,,,,1381.0,94.0,0
1707939873,,,,,,1381.0,61.0,0
1707939878,,,,,,1381.0,61.0,0
1707939883,,,,,,1381.0,92.0,0
1707939888,,,,,,1381.0,92.0,0
1707939893,,,,,,1381.0,98.0,0
1707939898,,,,,,1381.0,98.0,0
1707939903,,,,,,1381.0,59.0,0
1707939908,,,,,,1381.0,59.0,0
1707939913,,,,,,1381.0,105.0,0
1707939918,,,,,,1381.0,105.0,0
1707939923,,,,,,1381.0,93.0,0
1707939928,,,,,,1381.0,93.0,0
1707939933,,,,,,1381.0,59.0,0
1707939938,,,,,,1381.0,59.0,0
1707939943,,,,,,1381.0,56.0,0
1707939948,,,,,,1381.0,56.0,0
1707939953,,,,,,1381.0,55.0,0
1707939958,,,,,,1381.0,55.0,0
1707939963,,,,,,1381.0,56.0,0
1707939968,,,,,,1381.0,56.0,0
1707939973,,,,,,1381.0,93.0,0
1707939978,,,,,,1381.0,93.0,0
1707939983,,,,,,1381.0,55.0,0
1707939988,,,,,,1381.0,55.0,0
1707939993,,,,,,,,0
1707940043,,,,,,-1.0,-1.0,0
1707940048,,,,,,1381.0,351.0,0
1707940053,,,,,,1381.0,351.0,0
1707940058,,,,,,1381.0,178.0,0
1707940063,,,,,,1381.0,178.0,0
1707940068,,,,,,1381.0,170.0,0
1707940073,,,,,,1381.0,170.0,0
1707940078,,,,,,1381.0,174.0,0
1707940083,,,,,,1381.0,174.0,0
1707940088,,,,,,1381.0,87.0,0
1707940093,,,,,,1381.0,87.0,0
1707940098,,,,,,1381.0,165.0,0
1707940103,,,,,,1381.0,165.0,0
1707940108,,,,,,1381.0,103.0,0
1707940113,,,,,,1381.0,103.0,0
1707940118,,,,,,1381.0,63.0,0
1707940123,,,,,,1381.0,63.0,0
1707940128,,,,,,1381.0,252.0,0
1707940133,,,,,,1381.0,252.0,0
1707940138,,,,,,1381.0,10.0,0
1707940143,,,,,,1381.0,10.0,0
1707940148,,,,,,1381.0,163.0,0
1707940153,,,,,,1381.0,163.0,0
1707940158,,,,,,1381.0,150.0,0
1707940163,,,,,,1381.0,150.0,0
1707940168,,,,,,1381.0,93.0,0
1707940173,,,,,,1381.0,93.0,0
1707940178,,,,,,1381.0,71.0,0
1707940183,,,,,,1381.0,71.0,0
1707940188,,,,,,1381.0,54.0,0
1707940193,,,,,,1381.0,54.0,0
1707940198,,,,,,1381.0,52.0,0
1707940203,,,,,,1381.0,52.0,0
1707940208,,,,,,1381.0,103.0,0
1707940213,,,,,,1381.0,103.0,0
1707940218,,,,,,1381.0,102.0,0
1707940223,,,,,,1381.0,102.0,0
1707940228,,,,,,1381.0,103.0,0
1707940233,,,,,,1381.0,103.0,0
1707940238,,,,,,1381.0,66.0,0
1707940243,,,,,,1381.0,66.0,0
1707940248,,,,,,1381.0,103.0,0
1707940253,,,,,,1381.0,103.0,0
1707940258,,,,,,1381.0,11.0,0
1707940263,,,,,,1381.0,11.0,0
1707940268,,,,,,1381.0,87.0,0
1707940273,,,,,,1381.0,87.0,0
1707940278,,,,,,1381.0,60.0,0
1707940283,,,,,,1381.0,60.0,0
1707940288,,,,,,1381.0,64.0,0
1707940293,,,,,,1381.0,64.0,0
1707940298,,,,,,1381.0,54.0,0
1707940303,,,,,,1381.0,54.0,0
1707940308,,,,,,1381.0,95.0,0
1707940313,,,,,,1381.0,95.0,0
1707940318,,,,,,1381.0,99.0,0
1707940323,,,,,,1381.0,99.0,0
1707940328,,,,,,1381.0,95.0,0
1707940333,,,,,,1381.0,95.0,0
1707940338,,,,,,1381.0,87.0,0
1707940343,,,,,,1381.0,87.0,0
1707940348,,,,,,1381.0,97.0,0
1707940353,,,,,,1381.0,97.0,0
1707940358,,,,,,1381.0,64.0,0
1707940363,,,,,,1381.0,64.0,0
1707940368,,,,,,1381.0,89.0,0
1707940373,,,,,,1381.0,89.0,0
1707940378,,,,,,1381.0,78.0,0
1707940383,,,,,,1381.0,78.0,0
1707940388,,,,,,1381.0,106.0,0
1707940393,,,,,,1381.0,106.0,0
1707940398,,,,,,1381.0,75.0,0
1707940403,,,,,,1381.0,75.0,0
1707940408,,,,,,1381.0,101.0,0
1707940413,,,,,,1381.0,101.0,0
1707940418,,,,,,1381.0,9.0,0
1707940423,,,,,,1381.0,9.0,0
1707940428,,,,,,1381.0,95.0,0
