,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Input_Buffers_inputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_Shuffle_Netty_Output_Buffers_outputQueueLength,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
1736781240000,10.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,10.0,10.0,17.0,806.0,,,1071.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781245000,9.0,20.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,9.0,2304000.0,2543.0,,,220.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781250000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,1776.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781255000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,18.0,81050000.0,,,15209.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781260000,1.0,10.0,,,0.0,0.0,0.0,5.0,0.0,,,0.0,1.0,1.0,555000.0,2135.0,,,2731.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781265000,9.0,18.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,6300000.0,1656.0,,,1025.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781270000,9.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,9.0,68.0,899.0,,,193.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781275000,10.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,10.0,10.0,16000000.0,1515.0,,,1638.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781280000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,10809000.0,821.0,,,371.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781285000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,821.0,,,942.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781290000,9.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,9.0,17.0,1745.0,,,867.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781295000,9.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,7.0,7515000.0,987.0,,,986.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781300000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,1779.0,,,998.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781305000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,1779.0,,,999.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781310000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,1928.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781315000,9.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,9.0,6507000.0,1983.0,,,21059.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781320000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,21.0,2024.0,,,753.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781325000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,71.0,1733.0,,,706.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781330000,9.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,9.0,100.0,1956.0,,,1463.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781335000,9.0,20.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,10.0,165.0,773.0,,,685.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781340000,9.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,7.0,767.0,1629.0,,,1313.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781345000,9.0,19.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,8.0,9.0,834.0,1833.0,,,758.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781350000,10.0,20.0,,,0.0,0.0,0.0,10.0,0.0,,,0.0,9.0,9.0,763.0,1862.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781355000,10.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,10.0,9.0,722.0,1125.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781360000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,72450000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781365000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,5319000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781370000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781375000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781380000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781385000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781390000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781395000,9.0,19.0,,,0.0,0.0,0.0,9.0,0.0,,,0.0,9.0,9.0,2304000.0,912.0,,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781400000,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,70.0,388.0,,,5649.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781405000,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,644.0,388.0,,,1378.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781410000,,,,,,,,,,,,,,,,,,,,,
1736781440000,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,-9.223372036854775e+18,-9.223372036854775e+18
1736781445000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781450000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781455000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781460000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781465000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781470000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781475000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,21956000.0,,0.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781480000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1984000.0,,29647000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781485000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5288.0,24270000.0,256000.0,,3103000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781490000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1384.0,2193000.0,256000.0,,276000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781495000,9.0,9.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,4.0,9.0,910.0,580.0,397.0,,946.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781500000,9.0,19.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,9.0,9.0,980.0,1083.0,539.0,,533.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781505000,9.0,18.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,10.0,10.0,79.0,2525.0,13359000.0,,950.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781510000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,4914000.0,557.0,434.0,,229.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781515000,9.0,19.0,2.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,78.0,1121.0,773.0,,832.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781520000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,324.0,1813.0,14246000.0,,1050.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781525000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,4212000.0,1813.0,145.0,,1004.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781530000,8.0,19.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,10.0,10.0,40.0,962.0,694.0,,1000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781535000,10.0,18.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,9.0,2.0,77.0,1024.0,413.0,,1100.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781540000,9.0,21.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,5.0,78.0,1131.0,791.0,,1508.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781545000,10.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,10.0,7.0,354.0,756.0,482.0,,912.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781550000,10.0,19.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,671.0,977.0,766.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781555000,9.0,20.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,768.0,126720000.0,142.0,,405.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781560000,9.0,19.0,18.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,511.0,71155.0,1483.0,,693.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781565000,9.0,19.0,18.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,23895000.0,71155.0,1483.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781570000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,71155.0,14711000.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781575000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,71155.0,1201000.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781580000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,71155.0,256000.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781585000,9.0,19.0,19.0,,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,1023.0,42.0,,1397.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781590000,9.0,4.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,228.0,558000.0,,1035.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781595000,9.0,11.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,814.0,71.0,,1002.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781600000,7.0,12.0,19.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,4.0,9.0,32.0,1490.0,813.0,,1000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781605000,9.0,5.0,13.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,3402000.0,1103.0,520.0,,1000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781610000,9.0,11.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,18.0,1314.0,9324000.0,,3405.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781615000,9.0,18.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,3.0,128.0,1721.0,420.0,,176.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781620000,9.0,15.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,9.0,9.0,1166.0,788.0,224.0,,1094.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781625000,9.0,19.0,16.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,8.0,8.0,1624.0,109640000.0,322.0,,833.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781630000,9.0,19.0,16.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,132399000.0,1389.0,322.0,,833.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781635000,9.0,19.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,10809000.0,1389.0,80.0,,833.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781640000,9.0,20.0,19.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,47527.0,293250.0,,650.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781645000,9.0,18.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,2304000.0,789.0,21521000.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781650000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,1.0,17.0,1004.0,290.0,,1737.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781655000,9.0,19.0,12.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,27.0,1745.0,118588000.0,,1039.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781660000,9.0,17.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,9.0,9.0,667.0,1681.0,189.0,,827.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781665000,9.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,9.0,9.0,24462000.0,737.0,222.0,,862.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781670000,9.0,16.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,3.0,160.0,999.0,16050000.0,,235.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781675000,9.0,19.0,10.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,208.0,1877.0,818.0,,1294.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781680000,9.0,19.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,201.0,66510000.0,24268000.0,,555.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781685000,9.0,19.0,0.0,,0.0,0.0,0.0,11.0,0.0,0.0,,0.0,9.0,9.0,241.0,833.0,284.0,,277.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781690000,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,228.0,520.0,29647000.0,,6139.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781695000,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,228.0,520.0,29647000.0,,1462.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781700000,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,228.0,520.0,29647000.0,,1035.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781705000,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,228.0,520.0,29647000.0,,1000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781710000,0.0,2.0,,,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,228.0,520.0,,,1000.0,-9.223372036854775e+18,-9.223372036854775e+18
1736781715000,,,,,,,,,,,,,,,,,,,,,
1736781740000,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781745000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781750000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781755000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781760000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781765000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781770000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781775000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781780000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781785000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12041000.0,26826000.0,4002000.0,0.0,4889000.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781790000,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,357.0,637.0,0.0,395000.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781795000,6.0,20.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,9.0,315.0,41298000.0,443.0,517.0,17.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781800000,5.0,20.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,10.0,5.0,500.0,117766000.0,328.0,465.0,153.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781805000,9.0,20.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,9.0,207126000.0,4067.0,59294000.0,268.0,499.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781810000,8.0,19.0,14.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,7.0,1405.0,1937.0,418.0,473.0,861.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781815000,9.0,19.0,19.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,9.0,76869000.0,1770.0,418.0,410.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781820000,9.0,2.0,0.0,19.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,9.0,55.0,256.0,8917000.0,410.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781825000,9.0,2.0,0.0,21.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,9.0,3429000.0,1867000.0,27.0,410.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781830000,9.0,19.0,14.0,18.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,9.0,5526000.0,5686.0,61.0,67107.0,862.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781835000,9.0,19.0,14.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,9.0,2304000.0,142.0,61.0,1062.0,1327.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781840000,9.0,19.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,9.0,2304000.0,142.0,71.0,1062.0,1026.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781845000,9.0,17.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,9.0,9.0,8.0,641.0,26775000.0,137.0,596.0,-9.223372036854776e+18,-9.223372036854776e+18
1736781850000,1.0,14.0,5.0,12.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,583.0,385.0,1163.0,84.0,-9.223372036854776e+18,-9.223372036854776e+18
