,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3
Timestamp,,,,
1737805695000,36861.33333333,36031.95,,
1737805700000,37966.28333333,29145.11666666,,
1737805705000,32442.53333333,28021.86666666,,
1737805710000,29588.766666659998,,,
1737805715000,,,,
1737805735000,0.0,0.0,,
1737805740000,0.0,3083.0,0.0,
1737805745000,2043.7333333333,7806.05,2136.2,
1737805750000,7378.66666666,10610.83333333,7230.26666666,
1737805755000,9954.76666666,13765.616666659998,9841.033333329999,
1737805760000,12116.66666666,15673.75,12080.91666666,
1737805765000,15000.133333329999,17637.316666659997,14566.0,
1737805770000,17547.03333333,19620.5,17089.066666659997,
1737805775000,19901.0,20465.483333329998,19551.33333333,
1737805780000,20264.93333333,25194.65,19836.4,
1737805785000,24804.266666659998,30313.833333330003,24048.7,
1737805790000,29177.55,33168.15,28573.15,
1737805795000,33409.61666666,36165.88333333,32709.95,
1737805800000,35438.2,35354.81666666,34697.0,
1737805805000,35435.8,32395.3,34493.45,
1737805810000,32057.0,31662.9,31391.05,
1737805815000,32922.03333333,30481.23333333,32036.4,
1737805820000,32938.45,30351.933333330002,32002.7,
1737805825000,31820.91666666,30896.05,31278.183333330002,
1737805830000,31331.516666659998,32159.35,30777.91666666,
1737805835000,30700.083333330003,33409.75,30160.5,
1737805840000,33012.0,30812.46666666,32281.66666666,
1737805845000,32142.266666659998,26031.266666659998,31749.66666666,
1737805850000,28132.816666659997,27487.41666666,27549.55,
1737805855000,26288.016666659998,30511.48333333,25455.083333330003,
1737805860000,30488.23333333,30333.41666666,29895.78333333,
1737805865000,32478.11666666,30683.8,31887.11666666,
1737805870000,32233.083333330003,32393.21666666,31589.7,
1737805875000,31128.066666659997,32062.383333330003,30593.2,
1737805880000,31547.316666659997,32394.15,30875.55,
1737805885000,32950.86666666,32100.2,32280.98333333,
1737805890000,33153.9,30838.7,32449.28333333,
1737805895000,32951.78333333,31599.03333333,32197.55,
1737805900000,32668.11666666,32031.766666659998,32073.25,
1737805905000,30612.766666659998,33995.11666666,30201.35,
1737805910000,34273.15,31561.25,33397.0,
1737805915000,34139.95,25943.9,33704.25,
1737805920000,28277.266666659998,28217.766666659998,27673.45,
1737805925000,27676.46666666,31069.46666666,26858.96666666,
1737805930000,30764.1,30255.55,30132.35,
1737805935000,32401.85,32008.45,31754.78333333,
