Timestamp,"('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_numRecordsInPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 0)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 1)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 2)","('flink_taskmanager_job_task_busyTimeMsPerSecond', 'TumblingEventTimeWindows____Timestamps_Watermarks', 3)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 1)","('flink_taskmanager_job_task_hardBackPressuredTimeMsPerSecond', 2)",flink_jobmanager_job_lastCheckpointSize,flink_jobmanager_job_lastCheckpointDuration,Parallelism
390,32795.81666666,32626.266666659998,,,994.0,944.0,,,1000.0,1000.0,56650646.0,1845.0,2
395,33217.08333333,33969.93333333,,,994.0,943.0,,,1000.0,1000.0,21958740.0,454.0,2
400,33990.36666666,33268.966666659995,,,995.0,940.0,,,1000.0,1000.0,31624957.0,2144.0,2
405,33023.26666666,32599.21666666,,,995.0,937.0,,,1000.0,1000.0,43418398.0,4074.0,2
410,33076.28333333,32981.1,,,990.0,939.0,,,1000.0,1000.0,49041578.0,717.0,2
415,33251.31666666,33091.18333333,,,989.0,941.0,,,1000.0,1000.0,27820066.0,2104.0,2
420,33351.7,33901.26666666,,,988.0,945.0,,,1000.0,1000.0,43595258.0,600.0,2
425,32702.433333330002,33630.03333333,,,984.0,942.0,,,1000.0,1000.0,54550520.0,2601.0,2
430,33433.38333333,32560.816666659997,,,980.0,940.0,,,1000.0,1000.0,31774397.0,509.0,2
435,33179.4,32750.11666666,,,981.0,947.0,,,1000.0,1000.0,40553022.0,2162.0,2
440,34268.35,35431.16666666,,,981.0,943.0,,,1000.0,1000.0,40553022.0,2162.0,2
445,27481.066666659997,29856.36666666,,,981.0,945.0,,,1000.0,1000.0,29374723.0,3854.0,2
450,29723.683333330002,27876.066666659997,,,982.0,944.0,,,1000.0,1000.0,52363093.0,877.0,2
455,31162.183333330002,31604.1,,,979.0,948.0,,,1000.0,1000.0,70997027.0,2103.0,2
460,31056.766666659998,33015.81666666,,,978.0,953.0,,,1000.0,1000.0,25931906.0,3429.0,2
465,32935.15,33053.8,,,977.0,958.0,,,1000.0,1000.0,35845251.0,660.0,2
470,33394.68333333,33234.55,,,983.0,961.0,,,1000.0,1000.0,42120918.0,1640.0,2
475,33176.3,31827.66666666,,,982.0,952.0,,,1000.0,1000.0,30568331.0,607.0,2
480,32629.45,30197.23333333,,,983.0,952.0,,,1000.0,1000.0,27782939.0,2059.0,2
485,30956.833333330003,31653.78333333,,,987.0,956.0,,,1000.0,1000.0,37457687.0,3677.0,2
490,31529.566666659997,33190.18333333,,,987.0,951.0,,,1000.0,1000.0,45403305.0,742.0,2
495,33063.466666659995,33263.983333330005,,,988.0,944.0,,,1000.0,1000.0,25022462.0,2200.0,2
500,33101.83333333,32967.18333333,,,985.0,947.0,,,1000.0,1000.0,41670027.0,542.0,2
505,35504.61666666,33040.08333333,,,983.0,943.0,,,1000.0,1000.0,49826168.0,2505.0,2
510,30635.46666666,31699.25,,,983.0,948.0,,,1000.0,1000.0,25011705.0,4259.0,2
515,27617.45,27381.15,,,985.0,947.0,,,1000.0,1000.0,41538617.0,520.0,2
520,31234.46666666,30125.566666659997,,,985.0,940.0,,,1000.0,1000.0,39146205.0,1204.0,2
525,34214.05,31990.183333330002,,,985.0,940.0,,,1000.0,1000.0,30942791.0,2441.0,2
530,,31081.383333330003,,,,942.0,,,,,30942791.0,2441.0,1
535,,,,,,,,,,,,,0
555,0.0,0.0,,,,1000.0,,,0.0,0.0,,,2
560,1170.1,0.0,0.0,,686.0,1000.0,1000.0,,26.0,1.0,-1.0,-1.0,3
565,6052.96666667,2728.3666666666,1770.3333333332998,,812.0,87.0,176.0,,281.0,268.0,10431005.0,1651.0,3
570,9937.26666666,7856.66666666,7600.85,,864.0,471.0,484.0,,403.0,404.0,32899413.0,1021.0,3
575,11946.9,9773.4,9741.56666666,,895.0,610.0,614.0,,508.0,511.0,46295375.0,945.0,3
580,12447.716666659999,11883.16666666,11685.31666666,,916.0,679.0,684.0,,628.0,627.0,59067397.0,1327.0,3
585,17718.13333333,14435.966666659999,12673.866666659998,,924.0,719.0,730.0,,625.0,623.0,42141705.0,854.0,3
590,21436.63333333,19179.4,18414.6,,926.0,747.0,750.0,,628.0,626.0,67824443.0,1341.0,3
595,23354.73333333,21128.93333333,21042.08333333,,934.0,771.0,773.0,,668.0,669.0,26665273.0,515.0,3
600,25501.833333330003,24175.98333333,22881.4,,939.0,786.0,790.0,,719.0,718.0,38465679.0,599.0,3
605,27588.86666666,26905.91666666,25450.55,,943.0,796.0,803.0,,777.0,778.0,50891568.0,896.0,3
610,30662.91666666,28858.316666659997,27981.9,,941.0,802.0,806.0,,768.0,769.0,62156915.0,1219.0,3
615,33480.58333333,30991.96666666,30882.9,,942.0,814.0,815.0,,765.0,768.0,26883225.0,1353.0,3
