,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3
Timestamp,,,,
1708176600000,951.0,420.0,414.0,431.0
1708176605000,957.0,424.0,417.0,445.0
1708176610000,964.0,435.0,433.0,449.0
1708176615000,966.0,449.0,438.0,445.0
1708176620000,966.0,448.0,436.0,453.0
1708176625000,971.0,458.0,443.0,473.0
1708176630000,974.0,475.0,464.0,472.0
1708176635000,972.0,469.0,460.0,470.0
1708176640000,975.0,467.0,461.0,464.0
1708176645000,976.0,463.0,460.0,456.0
1708176650000,980.0,457.0,453.0,484.0
1708176655000,982.0,492.0,480.0,499.0
1708176660000,985.0,505.0,504.0,513.0
1708176665000,986.0,510.0,507.0,511.0
1708176670000,984.0,505.0,504.0,512.0
1708176675000,981.0,503.0,506.0,489.0
1708176680000,980.0,476.0,485.0,509.0
1708176685000,980.0,501.0,503.0,494.0
1708176690000,983.0,487.0,490.0,495.0
1708176695000,986.0,489.0,494.0,490.0
1708176700000,986.0,484.0,487.0,494.0
1708176705000,985.0,488.0,489.0,491.0
1708176710000,985.0,482.0,491.0,493.0
1708176715000,984.0,480.0,493.0,471.0
1708176720000,988.0,454.0,465.0,466.0
1708176725000,989.0,456.0,466.0,464.0
1708176730000,991.0,461.0,468.0,464.0
1708176735000,991.0,461.0,467.0,467.0
1708176740000,990.0,465.0,474.0,442.0
1708176745000,990.0,437.0,451.0,467.0
1708176750000,991.0,468.0,473.0,497.0
1708176755000,991.0,496.0,502.0,503.0
1708176760000,991.0,502.0,510.0,508.0
1708176765000,989.0,505.0,509.0,510.0
1708176770000,988.0,518.0,504.0,482.0
1708176775000,988.0,493.0,478.0,504.0
1708176780000,984.0,520.0,500.0,507.0
1708176785000,983.0,521.0,504.0,507.0
1708176790000,983.0,517.0,501.0,508.0
1708176795000,976.0,518.0,502.0,505.0
1708176800000,973.0,516.0,498.0,507.0
1708176805000,973.0,522.0,499.0,504.0
1708176810000,972.0,516.0,498.0,501.0
1708176815000,972.0,516.0,500.0,516.0
1708176820000,967.0,526.0,511.0,507.0
1708176825000,968.0,521.0,507.0,508.0
1708176830000,970.0,511.0,508.0,513.0
1708176835000,970.0,511.0,512.0,513.0
1708176840000,974.0,514.0,513.0,511.0
1708176845000,975.0,511.0,504.0,523.0
1708176850000,975.0,524.0,516.0,522.0
1708176855000,982.0,523.0,515.0,520.0
1708176860000,984.0,520.0,513.0,517.0
1708176865000,982.0,511.0,511.0,495.0
1708176870000,979.0,486.0,489.0,485.0
1708176875000,980.0,483.0,476.0,475.0
1708176880000,982.0,478.0,471.0,474.0
1708176885000,985.0,478.0,472.0,473.0
1708176890000,983.0,474.0,473.0,470.0
1708176895000,983.0,472.0,472.0,449.0
