,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,0,1,2,3,4
Timestamp,,,,,
1702911510000,1000.0,708.0,721.0,722.0,
1702911515000,1000.0,707.0,723.0,715.0,
1702911520000,1000.0,708.0,723.0,714.0,
1702911525000,1000.0,709.0,724.0,714.0,
1702911530000,1000.0,711.0,728.0,719.0,
1702911535000,1000.0,719.0,728.0,721.0,
1702911540000,1000.0,721.0,730.0,725.0,
1702911545000,1000.0,726.0,736.0,728.0,
1702911550000,1000.0,733.0,739.0,731.0,
1702911555000,1000.0,732.0,737.0,734.0,
1702911560000,1000.0,735.0,741.0,729.0,
1702911565000,1000.0,736.0,743.0,725.0,
1702911570000,1000.0,738.0,744.0,723.0,
1702911575000,1000.0,733.0,744.0,724.0,
1702911580000,1000.0,733.0,743.0,723.0,
1702911585000,1000.0,733.0,744.0,723.0,
1702911590000,1000.0,729.0,739.0,723.0,
1702911595000,1000.0,722.0,740.0,718.0,
1702911600000,1000.0,724.0,743.0,713.0,
1702911605000,1000.0,729.0,751.0,713.0,
1702911610000,1000.0,730.0,756.0,717.0,
1702911615000,1000.0,732.0,758.0,718.0,
1702911620000,1000.0,735.0,755.0,722.0,
1702911625000,1000.0,735.0,753.0,724.0,
1702911630000,1000.0,733.0,753.0,724.0,
1702911635000,1000.0,734.0,751.0,723.0,
1702911640000,1000.0,731.0,749.0,722.0,
1702911645000,1000.0,725.0,742.0,719.0,
1702911650000,1000.0,725.0,741.0,712.0,
1702911655000,1000.0,725.0,744.0,712.0,
1702911660000,1000.0,722.0,742.0,711.0,
1702911665000,1000.0,715.0,732.0,711.0,
1702911670000,1000.0,718.0,729.0,707.0,
1702911675000,1000.0,717.0,730.0,709.0,
1702911680000,1000.0,715.0,732.0,709.0,
1702911685000,1000.0,715.0,733.0,716.0,
1702911690000,1000.0,714.0,732.0,715.0,
1702911695000,1000.0,715.0,733.0,714.0,
1702911700000,1000.0,716.0,734.0,714.0,
1702911705000,1000.0,721.0,742.0,716.0,
1702911710000,1000.0,725.0,744.0,722.0,
1702911715000,1000.0,724.0,741.0,726.0,
1702911720000,1000.0,725.0,740.0,725.0,
1702911725000,1000.0,726.0,743.0,725.0,
1702911730000,1000.0,724.0,742.0,726.0,
1702911735000,1000.0,725.0,741.0,724.0,
1702911740000,1000.0,725.0,741.0,724.0,
1702911745000,1000.0,728.0,751.0,716.0,
1702911750000,1000.0,729.0,753.0,719.0,
1702911755000,1000.0,729.0,755.0,718.0,
1702911760000,1000.0,731.0,757.0,721.0,
1702911765000,1000.0,733.0,759.0,722.0,
1702911770000,1000.0,735.0,759.0,723.0,
1702911775000,1000.0,735.0,761.0,724.0,
1702911780000,1000.0,737.0,761.0,725.0,
1702911785000,1000.0,737.0,761.0,725.0,
1702911790000,,,,,
1702911835000,,,1000.0,1000.0,1000.0
1702911840000,571.0,653.0,542.0,496.0,585.0
1702911845000,756.0,501.0,426.0,433.0,457.0
1702911850000,838.0,544.0,483.0,484.0,509.0
1702911855000,878.0,560.0,511.0,523.0,535.0
1702911860000,903.0,574.0,537.0,552.0,554.0
1702911865000,919.0,575.0,546.0,561.0,560.0
1702911870000,931.0,572.0,543.0,559.0,560.0
1702911875000,939.0,583.0,556.0,569.0,570.0
1702911880000,946.0,585.0,561.0,575.0,574.0
1702911885000,952.0,594.0,567.0,581.0,580.0
1702911890000,956.0,608.0,581.0,594.0,593.0
1702911895000,960.0,617.0,593.0,611.0,610.0
1702911900000,996.0,625.0,611.0,631.0,622.0
1702911905000,1000.0,663.0,649.0,663.0,657.0
1702911910000,1000.0,671.0,659.0,674.0,664.0
1702911915000,1000.0,679.0,666.0,679.0,673.0
1702911920000,1000.0,689.0,675.0,686.0,681.0
1702911925000,1000.0,704.0,688.0,697.0,699.0
1702911930000,1000.0,722.0,705.0,714.0,712.0
1702911935000,1000.0,730.0,713.0,725.0,722.0
1702911940000,1000.0,742.0,725.0,734.0,734.0
1702911945000,1000.0,749.0,733.0,744.0,744.0
1702911950000,1000.0,749.0,734.0,745.0,745.0
1702911955000,1000.0,748.0,732.0,737.0,735.0
1702911960000,1000.0,750.0,729.0,734.0,733.0
1702911965000,1000.0,742.0,722.0,730.0,730.0
1702911970000,1000.0,745.0,724.0,731.0,729.0
1702911975000,1000.0,747.0,728.0,732.0,730.0
1702911980000,1000.0,748.0,729.0,733.0,733.0
1702911985000,1000.0,748.0,727.0,733.0,730.0
1702911990000,1000.0,751.0,728.0,739.0,732.0
1702911995000,1000.0,751.0,727.0,740.0,732.0
1702912000000,1000.0,751.0,728.0,740.0,731.0
1702912005000,1000.0,753.0,729.0,741.0,731.0
1702912010000,1000.0,752.0,725.0,737.0,729.0
1702912015000,1000.0,758.0,729.0,741.0,733.0
1702912020000,1000.0,758.0,731.0,745.0,737.0
1702912025000,1000.0,762.0,735.0,750.0,742.0
1702912030000,1000.0,761.0,735.0,752.0,745.0
1702912035000,1000.0,763.0,737.0,754.0,747.0
1702912040000,1000.0,762.0,739.0,752.0,747.0
1702912045000,1000.0,763.0,741.0,754.0,745.0
1702912050000,1000.0,761.0,746.0,747.0,744.0
1702912055000,1000.0,770.0,747.0,755.0,755.0
1702912060000,1000.0,777.0,749.0,755.0,757.0
1702912065000,1000.0,775.0,747.0,754.0,757.0
1702912070000,1000.0,779.0,752.0,759.0,760.0
1702912075000,1000.0,778.0,755.0,761.0,760.0
1702912080000,1000.0,778.0,754.0,761.0,759.0
1702912085000,1000.0,777.0,753.0,762.0,760.0
1702912090000,1000.0,779.0,756.0,762.0,760.0
1702912095000,1000.0,777.0,751.0,759.0,754.0
1702912100000,1000.0,776.0,752.0,758.0,755.0
1702912105000,1000.0,772.0,748.0,756.0,754.0
1702912110000,1000.0,772.0,743.0,756.0,756.0
1702912115000,1000.0,763.0,743.0,748.0,744.0
1702912120000,1000.0,758.0,743.0,749.0,743.0
1702912125000,1000.0,755.0,740.0,745.0,741.0
1702912130000,1000.0,752.0,737.0,743.0,738.0
1702912135000,1000.0,751.0,735.0,739.0,737.0
1702912140000,1000.0,749.0,734.0,737.0,736.0
1702912145000,1000.0,746.0,730.0,732.0,735.0
1702912150000,1000.0,745.0,731.0,731.0,736.0
1702912155000,1000.0,747.0,733.0,732.0,738.0
1702912160000,1000.0,748.0,730.0,734.0,739.0
1702912165000,1000.0,749.0,731.0,735.0,738.0
1702912170000,1000.0,750.0,732.0,735.0,737.0
1702912175000,1000.0,749.0,731.0,731.0,735.0
1702912180000,1000.0,748.0,730.0,729.0,734.0
1702912185000,1000.0,752.0,737.0,734.0,738.0
1702912190000,1000.0,763.0,745.0,736.0,741.0
1702912195000,1000.0,764.0,746.0,745.0,752.0
1702912200000,1000.0,768.0,747.0,748.0,754.0
1702912205000,1000.0,771.0,751.0,752.0,755.0
1702912210000,1000.0,771.0,751.0,753.0,753.0
1702912215000,1000.0,770.0,751.0,752.0,753.0
1702912220000,1000.0,770.0,751.0,753.0,754.0
1702912225000,1000.0,772.0,753.0,755.0,755.0
