,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks,TumblingEventTimeWindows____Timestamps_Watermarks
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1736812545000,932.0,762.0,598.0,584.0,,,,
1736812550000,940.0,766.0,611.0,607.0,,,,
1736812555000,946.0,762.0,614.0,617.0,,,,
1736812560000,951.0,755.0,628.0,618.0,,,,
1736812565000,955.0,755.0,688.0,630.0,,,,
1736812570000,984.0,741.0,692.0,688.0,,,,
1736812575000,997.0,734.0,695.0,693.0,,,,
1736812580000,1000.0,727.0,700.0,695.0,,,,
1736812585000,997.0,757.0,736.0,702.0,,,,
1736812590000,996.0,754.0,735.0,736.0,,,,
1736812595000,996.0,742.0,723.0,733.0,,,,
1736812600000,996.0,728.0,699.0,719.0,,,,
1736812605000,995.0,706.0,693.0,696.0,,,,
1736812610000,994.0,699.0,693.0,690.0,,,,
1736812615000,993.0,700.0,706.0,685.0,,,,
1736812620000,993.0,708.0,702.0,694.0,,,,
1736812625000,993.0,711.0,698.0,692.0,,,,
1736812630000,993.0,706.0,702.0,687.0,,,,
1736812635000,993.0,703.0,702.0,693.0,,,,
1736812640000,993.0,712.0,709.0,691.0,,,,
1736812645000,996.0,700.0,690.0,701.0,,,,
1736812650000,997.0,720.0,711.0,681.0,,,,
1736812655000,998.0,721.0,706.0,696.0,,,,
1736812660000,998.0,732.0,728.0,693.0,,,,
1736812665000,998.0,730.0,715.0,711.0,,,,
1736812670000,997.0,719.0,715.0,699.0,,,,
1736812675000,998.0,727.0,712.0,702.0,,,,
1736812680000,998.0,721.0,708.0,702.0,,,,
1736812685000,998.0,715.0,705.0,700.0,,,,
1736812690000,998.0,713.0,708.0,694.0,,,,
1736812695000,998.0,719.0,715.0,693.0,,,,
1736812700000,998.0,722.0,707.0,701.0,,,,
1736812705000,998.0,712.0,702.0,688.0,,,,
1736812710000,998.0,693.0,695.0,677.0,,,,
1736812715000,996.0,702.0,712.0,671.0,,,,
1736812720000,996.0,723.0,721.0,689.0,,,,
1736812725000,996.0,730.0,725.0,698.0,,,,
1736812730000,998.0,729.0,717.0,698.0,,,,
1736812735000,998.0,716.0,699.0,699.0,,,,
1736812740000,998.0,701.0,694.0,681.0,,,,
1736812745000,998.0,702.0,696.0,673.0,,,,
1736812750000,998.0,714.0,701.0,677.0,,,,
1736812755000,,,,685.0,,,,
1736812760000,,,,,,,,
1736812780000,1000.0,1000.0,1000.0,1000.0,1000.0,,,
1736812785000,1000.0,552.0,22.0,1000.0,0.0,,,
1736812790000,515.0,705.0,297.0,0.0,191.0,,,
1736812795000,730.0,710.0,409.0,206.0,355.0,,,
1736812800000,820.0,673.0,443.0,384.0,384.0,,,
1736812805000,865.0,652.0,462.0,405.0,430.0,,,
1736812810000,892.0,682.0,518.0,440.0,466.0,,,
1736812815000,909.0,696.0,536.0,477.0,505.0,,,
1736812820000,921.0,703.0,567.0,518.0,533.0,,,
1736812825000,930.0,713.0,576.0,545.0,552.0,,,
1736812830000,937.0,711.0,592.0,558.0,565.0,,,
1736812835000,943.0,713.0,600.0,570.0,574.0,,,
1736812840000,949.0,718.0,615.0,576.0,586.0,,,
1736812845000,951.0,727.0,661.0,585.0,644.0,,,
1736812850000,991.0,710.0,672.0,643.0,664.0,,,
1736812855000,993.0,734.0,691.0,662.0,672.0,,,
1736812860000,993.0,739.0,697.0,667.0,682.0,,,
1736812865000,993.0,751.0,707.0,674.0,683.0,,,
1736812870000,992.0,729.0,690.0,679.0,675.0,,,
