,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond,flink_taskmanager_job_task_busyTimeMsPerSecond
,Map,Map,Map,Map,Map,Map,Map,Map
,0,1,2,3,4,5,6,7
Timestamp,,,,,,,,
1722008945000,1000.0,694.0,671.0,711.0,693.0,,,
1722008950000,1000.0,691.0,674.0,708.0,688.0,,,
1722008955000,1000.0,695.0,667.0,724.0,692.0,,,
1722008960000,1000.0,691.0,674.0,718.0,692.0,,,
1722008965000,1000.0,696.0,676.0,726.0,705.0,,,
1722008970000,1000.0,695.0,676.0,725.0,705.0,,,
1722008975000,1000.0,685.0,664.0,720.0,708.0,,,
1722008980000,1000.0,677.0,666.0,713.0,694.0,,,
1722008985000,1000.0,678.0,663.0,710.0,695.0,,,
1722008990000,1000.0,677.0,659.0,710.0,697.0,,,
1722008995000,1000.0,676.0,669.0,707.0,697.0,,,
1722009000000,1000.0,676.0,671.0,707.0,696.0,,,
1722009005000,1000.0,690.0,670.0,712.0,700.0,,,
1722009010000,1000.0,,,,1000.0,,,
1722009015000,1000.0,1000.0,1000.0,1000.0,494.0,,,
1722009020000,,1000.0,1000.0,1000.0,1000.0,,,
1722009025000,1000.0,1000.0,1000.0,1000.0,587.0,,,
1722009030000,948.0,498.0,428.0,490.0,,,,
1722009035000,1000.0,,,1000.0,1000.0,,,
1722009040000,,,,,,,,
1722009075000,,,,,1000.0,,,
1722009080000,1000.0,1000.0,1000.0,1000.0,364.0,351.0,,
1722009085000,684.0,361.0,234.0,327.0,279.0,283.0,,
1722009090000,715.0,330.0,334.0,274.0,319.0,357.0,,
1722009095000,810.0,414.0,394.0,345.0,385.0,417.0,,
1722009100000,858.0,481.0,454.0,440.0,428.0,464.0,,
1722009105000,886.0,513.0,488.0,494.0,457.0,492.0,,
1722009110000,905.0,536.0,514.0,516.0,480.0,511.0,,
1722009115000,919.0,544.0,523.0,539.0,491.0,525.0,,
1722009120000,929.0,543.0,528.0,553.0,495.0,531.0,,
1722009125000,937.0,554.0,529.0,564.0,509.0,537.0,,
1722009130000,943.0,567.0,543.0,571.0,513.0,547.0,,
1722009135000,949.0,572.0,549.0,583.0,519.0,551.0,,
