,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond,flink_taskmanager_job_task_numRecordsInPerSecond
1736778740000,3079.85,3105.1166666666,
1736778745000,3251.7,3182.4333333333,
1736778750000,3549.31666667,3471.5833333299997,
1736778755000,3394.63333333,3370.51666667,
1736778760000,3112.4833333333004,3277.0,
1736778765000,3339.3333333299997,3169.65,
1736778770000,3611.76666667,3572.2,
1736778775000,3743.1,3555.3,
1736778780000,3949.21666667,3852.21666667,
1736778785000,4170.8,4110.35,
1736778790000,4194.56666667,4234.08333333,
1736778795000,4395.46666667,4277.38333333,
1736778800000,4427.78333333,4405.13333333,
1736778805000,4419.85,4381.55,
1736778810000,4804.1,4656.73333333,
1736778815000,5397.71666667,5305.83333333,
1736778820000,5525.2,5384.86666667,
1736778825000,5124.16666667,5242.06666667,
1736778830000,4661.06666667,4745.16666667,
1736778835000,4142.23333333,4347.33333333,
1736778840000,3590.86666667,3950.81666667,
1736778845000,3554.9166666700003,3429.61666667,
1736778850000,3265.0,3324.0333333333,
1736778855000,2758.7666666666,2887.15,
1736778860000,,,
1736778885000,0.0,,
1736778890000,0.0,0.0,0.0
1736778895000,0.0,0.0,0.0
1736778900000,0.0,0.0,0.0
1736778905000,0.0,0.0,0.0
1736778910000,0.0,0.0,0.0
1736778915000,0.0,0.0,0.0
1736778920000,0.0,0.0,0.0
1736778925000,0.0,0.0,0.0
1736778930000,0.0,0.0,0.0
1736778935000,0.0,0.0,0.0
1736778940000,0.0,0.0,0.0
1736778945000,0.0,0.0,0.0
1736778950000,0.0,0.0,0.0
1736778955000,0.0,0.0,0.0
1736778960000,6.85,4.583333333333,0.0
1736778965000,65.3166666667,47.3333333333,14.75
1736778970000,188.9333333333,185.1166666666,96.95
1736778975000,219.4,243.4666666666,213.05
1736778980000,417.9833333333,381.5333333333,277.95
1736778985000,620.5666666666,599.25,474.8
1736778990000,850.2666666665999,836.95,694.9833333332999
1736778995000,1106.3333333333,1082.0833333333,951.8666666665999
1736779000000,1146.25,1136.85,1122.95
1736779005000,1146.25,1187.1833333333,1174.5666666666
1736779010000,1155.8833333333,1187.1833333333,1174.5666666666
1736779015000,1321.1333333333,1277.0833333333,1184.2833333332999
1736779020000,1642.9833333333,1619.2833333332999,1414.25
1736779025000,1750.65,1735.1,1757.5833333333
1736779030000,1725.2666666666,1692.2833333332999,1764.4166666666
1736779035000,1728.2833333332999,1690.9333333333,1709.4166666666
1736779040000,1609.5833333333,1601.3666666666,1694.3666666666
1736779045000,1663.35,1595.4833333333,1549.75
1736779050000,1818.2,1790.1833333333,1725.5
1736779055000,2059.3666666666,2018.1666666666,1832.1
1736779060000,2060.0,2033.6666666666,1960.0333333332999
1736779065000,2554.5166666666,2418.1666666666,2163.95
1736779070000,3112.3833333333,2957.3,2663.45
1736779075000,3327.3666666666,3288.6833333333,3176.9166666666
1736779080000,3399.43333333,3309.9333333333,3335.38333333
1736779085000,3631.95,3546.0833333299997,3311.1833333333
1736779090000,4041.35,3976.35,3720.76666667
1736779095000,4286.71666667,4247.16666667,4101.35
1736779100000,4206.83333333,4198.66666667,4150.11666667
1736779105000,3950.48333333,3986.8333333299997,4097.88333333
1736779110000,3565.93333333,3554.43333333,3701.95
1736779115000,3068.7,3174.75,3338.46666667
1736779120000,3257.7666666666,3200.7166666666,3217.9833333333004
1736779125000,2895.5,2836.45,3002.7666666666
1736779130000,2753.7333333333004,2710.3666666666,2719.5333333333
1736779135000,2794.0,2760.0666666665998,2724.95
1736779140000,,,
